serie1_id,serie2_id,puntuacionSimilitud,algoritmo,fechaCalculada
ser_0052,ser_1488,0.52,manual,2025-04-23
ser_0053,ser_2877,0.44,cosine,2024-09-18
ser_0053,ser_1357,0.65,collaborative,2025-03-21
ser_0053,ser_2586,0.82,jaccard,2024-01-09
ser_0054,ser_1446,0.73,jaccard,2024-02-27
ser_0055,ser_2484,0.67,jaccard,2025-01-23
ser_0055,ser_1752,0.59,manual,2024-01-06
ser_0055,ser_2270,0.87,manual,2024-01-22
ser_0056,ser_0530,0.41,collaborative,2024-11-16
ser_0056,ser_2618,0.84,manual,2024-09-24
ser_0057,ser_2927,0.59,collaborative,2024-10-30
ser_0058,ser_0970,0.43,jaccard,2025-04-14
ser_0059,ser_2217,0.8,collaborative,2024-09-11
ser_0059,ser_2419,0.48,collaborative,2024-12-10
ser_0060,ser_0739,0.57,collaborative,2024-01-26
ser_0061,ser_1797,0.66,jaccard,2024-10-14
ser_0062,ser_1421,0.72,cosine,2025-04-14
ser_0062,ser_2766,0.88,manual,2024-09-12
ser_0063,ser_2537,0.4,collaborative,2024-08-06
ser_0064,ser_1052,0.87,cosine,2025-04-04
ser_0064,ser_2084,0.75,collaborative,2025-03-07
ser_0065,ser_0015,0.48,jaccard,2024-06-08
ser_0065,ser_0149,0.82,manual,2024-09-15
ser_0065,ser_1990,0.69,cosine,2024-06-26
ser_0066,ser_1565,0.76,collaborative,2024-11-11
ser_0067,ser_2669,0.74,jaccard,2024-04-01
ser_0068,ser_2525,0.88,jaccard,2025-02-01
ser_0069,ser_0077,0.89,collaborative,2024-10-13
ser_0069,ser_0194,0.79,manual,2025-03-26
ser_0070,ser_2537,0.92,collaborative,2024-10-19
ser_0070,ser_1027,0.53,collaborative,2025-01-08
ser_0070,ser_1079,0.72,cosine,2025-01-31
ser_0071,ser_2920,0.85,collaborative,2024-08-23
ser_0072,ser_0223,0.49,jaccard,2025-01-15
ser_0072,ser_0263,0.49,cosine,2024-04-04
ser_0073,ser_0781,0.52,cosine,2024-05-19
ser_0074,ser_2558,0.56,jaccard,2024-10-19
ser_0074,ser_1977,0.49,cosine,2024-12-24
ser_0075,ser_2447,0.71,collaborative,2024-06-27
ser_0076,ser_0907,0.6,cosine,2025-01-14
ser_0076,ser_0729,0.4,manual,2024-04-16
ser_0077,ser_2830,0.79,manual,2025-04-25
ser_0078,ser_1972,0.51,collaborative,2024-09-10
ser_0079,ser_0801,0.88,collaborative,2024-01-23
ser_0079,ser_2779,0.68,collaborative,2024-10-07
ser_0080,ser_0659,0.76,collaborative,2024-01-19
ser_0080,ser_0265,0.41,manual,2024-09-23
ser_0080,ser_0132,0.93,manual,2024-01-31
ser_0081,ser_1049,0.92,collaborative,2024-05-08
ser_0082,ser_1530,0.67,jaccard,2024-10-06
ser_0082,ser_0332,0.48,jaccard,2024-05-24
ser_0083,ser_2927,0.82,collaborative,2025-03-03
ser_0084,ser_1898,0.5,collaborative,2025-03-19
ser_0084,ser_0340,0.82,collaborative,2025-02-15
ser_0085,ser_1990,0.53,manual,2024-10-28
ser_0085,ser_0146,0.87,manual,2024-01-25
ser_0086,ser_1704,0.73,collaborative,2024-09-08
ser_0086,ser_1643,0.56,collaborative,2025-04-16
ser_0087,ser_2184,0.86,collaborative,2024-04-11
ser_0087,ser_0912,0.91,cosine,2024-09-04
ser_0087,ser_2146,0.74,manual,2024-10-20
ser_0088,ser_0250,0.76,manual,2025-02-03
ser_0089,ser_1854,0.88,collaborative,2024-09-16
ser_0090,ser_2964,0.93,cosine,2024-12-12
ser_0091,ser_2619,0.51,cosine,2024-05-13
ser_0092,ser_0850,0.71,cosine,2024-02-08
ser_0092,ser_2672,0.82,manual,2024-11-13
ser_0093,ser_2060,0.46,jaccard,2024-08-05
ser_0093,ser_1876,0.88,cosine,2024-11-01
ser_0094,ser_2757,0.62,jaccard,2024-09-22
ser_0095,ser_1132,0.54,cosine,2025-02-04
ser_0095,ser_2610,0.61,cosine,2024-07-28
ser_0095,ser_1078,0.71,collaborative,2024-03-15
ser_0096,ser_1557,0.74,collaborative,2024-12-20
ser_0096,ser_2089,0.7,manual,2024-04-19
ser_0097,ser_1686,0.46,collaborative,2025-02-22
ser_0098,ser_0601,0.49,manual,2024-04-10
ser_0098,ser_2313,0.82,manual,2024-06-28
ser_0099,ser_2053,0.58,manual,2024-08-09
ser_0099,ser_0581,0.81,cosine,2024-02-15
ser_0099,ser_1448,0.44,manual,2024-02-06
ser_0100,ser_1027,0.77,jaccard,2024-10-19
ser_0100,ser_0067,0.71,collaborative,2024-01-08
ser_0101,ser_2172,0.94,cosine,2025-02-15
ser_0102,ser_1044,0.59,jaccard,2024-03-01
ser_0102,ser_1550,0.73,cosine,2024-08-15
ser_0103,ser_2234,0.84,cosine,2024-04-16
ser_0103,ser_2319,0.48,jaccard,2025-03-11
ser_0103,ser_0012,0.64,collaborative,2025-01-12
ser_0104,ser_0530,0.57,collaborative,2025-02-03
ser_0105,ser_2867,0.82,manual,2025-04-07
ser_0106,ser_2888,0.89,jaccard,2024-11-27
ser_0106,ser_1400,0.44,collaborative,2024-03-12
ser_0107,ser_2766,0.75,jaccard,2025-03-28
ser_0108,ser_0729,0.91,jaccard,2025-03-23
ser_0109,ser_2931,0.93,jaccard,2025-01-07
ser_0110,ser_0192,0.78,manual,2024-06-05
ser_0111,ser_0353,0.65,manual,2024-12-23
ser_0112,ser_1412,0.91,cosine,2024-09-20
ser_0112,ser_1578,0.67,manual,2024-03-06
ser_0113,ser_1728,0.86,jaccard,2024-12-16
ser_0113,ser_1437,0.91,jaccard,2025-03-13
ser_0114,ser_0572,0.72,cosine,2025-04-28
ser_0115,ser_0383,0.64,manual,2024-12-11
ser_0116,ser_0410,0.89,jaccard,2025-02-22
ser_0116,ser_2843,0.47,collaborative,2024-06-01
ser_0116,ser_2571,0.75,manual,2025-04-07
ser_0117,ser_2512,0.77,cosine,2024-10-05
ser_0118,ser_1698,0.51,cosine,2024-03-30
ser_0119,ser_1902,0.79,jaccard,2024-11-07
ser_0119,ser_2833,0.55,collaborative,2025-03-20
ser_0119,ser_0515,0.42,cosine,2024-11-18
ser_0120,ser_1571,0.74,manual,2025-04-01
ser_0121,ser_1851,0.45,cosine,2024-08-30
ser_0121,ser_1570,0.4,cosine,2024-11-10
ser_0121,ser_0790,0.77,manual,2024-11-04
ser_0122,ser_0822,0.95,cosine,2024-06-13
ser_0123,ser_2219,0.59,jaccard,2024-08-03
ser_0124,ser_1455,0.65,collaborative,2025-02-14
ser_0124,ser_2630,0.74,jaccard,2025-03-20
ser_0125,ser_2433,0.43,manual,2025-02-24
ser_0125,ser_2844,0.78,manual,2025-03-10
ser_0125,ser_2135,0.46,cosine,2025-01-10
ser_0126,ser_0509,0.65,manual,2024-10-31
ser_0127,ser_1561,0.93,manual,2025-04-02
ser_0127,ser_0046,0.69,jaccard,2025-04-02
ser_0127,ser_0417,0.71,collaborative,2024-11-20
ser_0128,ser_1556,0.67,jaccard,2024-01-29
ser_0129,ser_1802,0.49,cosine,2025-02-28
ser_0129,ser_0809,0.42,cosine,2024-07-12
ser_0130,ser_0427,0.91,jaccard,2024-12-26
ser_0130,ser_1299,0.89,collaborative,2025-01-24
ser_0131,ser_2104,0.85,jaccard,2024-11-09
ser_0132,ser_0727,0.55,cosine,2024-02-23
ser_0132,ser_2335,0.77,manual,2024-09-07
ser_0133,ser_2333,0.75,cosine,2024-08-24
ser_0134,ser_2307,0.85,manual,2024-12-25
ser_0134,ser_2722,0.68,manual,2025-01-24
ser_0134,ser_1166,0.89,jaccard,2024-06-20
ser_0135,ser_1807,0.51,cosine,2024-01-13
ser_0135,ser_0194,0.79,cosine,2024-06-24
ser_0135,ser_0863,0.79,jaccard,2024-11-07
ser_0136,ser_0775,0.61,manual,2024-03-23
ser_0136,ser_1505,0.52,manual,2024-04-05
ser_0137,ser_2549,0.4,manual,2025-03-12
ser_0137,ser_0025,0.42,collaborative,2024-06-09
ser_0137,ser_2732,0.94,collaborative,2024-11-21
ser_0138,ser_0124,0.51,cosine,2024-03-13
ser_0139,ser_2485,0.94,collaborative,2024-10-01
ser_0140,ser_2293,0.74,manual,2024-04-21
ser_0141,ser_1658,0.61,collaborative,2024-08-03
ser_0142,ser_2304,0.59,collaborative,2024-09-27
ser_0143,ser_0258,0.9,jaccard,2024-04-10
ser_0144,ser_1284,0.6,collaborative,2025-01-06
ser_0145,ser_2578,0.69,collaborative,2024-02-18
ser_0146,ser_0725,0.69,manual,2024-08-23
ser_0146,ser_1813,0.53,manual,2024-03-20
ser_0147,ser_2566,0.69,collaborative,2025-04-21
ser_0147,ser_0604,0.63,manual,2024-04-12
ser_0147,ser_0822,0.58,collaborative,2024-07-21
ser_0148,ser_0571,0.84,cosine,2025-01-19
ser_0148,ser_1943,0.93,manual,2024-07-13
ser_0149,ser_0408,0.46,jaccard,2024-10-09
ser_0149,ser_0845,0.94,manual,2024-08-01
ser_0149,ser_0725,0.49,cosine,2024-02-02
ser_0150,ser_2736,0.75,collaborative,2024-05-06
ser_0151,ser_2675,0.76,manual,2025-04-04
ser_0152,ser_1970,0.61,manual,2024-12-16
ser_0152,ser_2642,0.92,manual,2025-03-17
ser_0153,ser_0663,0.58,collaborative,2025-02-25
ser_0153,ser_1907,0.71,cosine,2024-04-23
ser_0154,ser_0026,0.56,jaccard,2024-12-13
ser_0154,ser_2870,0.94,manual,2024-11-13
ser_0154,ser_0952,0.55,jaccard,2024-07-27
ser_0155,ser_1105,0.49,jaccard,2024-09-22
ser_0155,ser_2695,0.54,jaccard,2024-01-29
ser_0156,ser_1667,0.61,collaborative,2024-01-04
ser_0156,ser_0487,0.48,collaborative,2024-04-17
ser_0157,ser_2962,0.57,jaccard,2024-03-13
ser_0158,ser_1412,0.84,manual,2024-03-26
ser_0159,ser_0101,0.45,manual,2024-06-19
ser_0160,ser_1865,0.83,cosine,2024-12-10
ser_0160,ser_1279,0.71,manual,2025-02-07
ser_0160,ser_1916,0.43,manual,2024-05-09
ser_0161,ser_0068,0.62,collaborative,2024-08-20
ser_0161,ser_1419,0.53,manual,2025-02-09
ser_0162,ser_0707,0.5,manual,2024-02-21
ser_0163,ser_0254,0.78,jaccard,2024-03-11
ser_0164,ser_1819,0.78,manual,2024-10-09
ser_0165,ser_1005,0.57,collaborative,2024-01-25
ser_0165,ser_2964,0.46,cosine,2024-02-22
ser_0166,ser_1709,0.74,cosine,2024-12-03
ser_0167,ser_1472,0.76,manual,2024-03-30
ser_0167,ser_0755,0.81,jaccard,2024-09-03
ser_0167,ser_1838,0.83,jaccard,2024-05-07
ser_0168,ser_1315,0.5,collaborative,2025-04-21
ser_0169,ser_0699,0.87,collaborative,2025-01-14
ser_0169,ser_1270,0.71,cosine,2024-08-03
ser_0169,ser_1724,0.58,cosine,2024-01-10
ser_0170,ser_2265,0.46,jaccard,2024-06-04
ser_0170,ser_0534,0.88,jaccard,2024-07-05
ser_0170,ser_0369,0.84,collaborative,2024-06-28
ser_0171,ser_2648,0.85,jaccard,2024-10-10
ser_0172,ser_0417,0.64,cosine,2024-12-02
ser_0173,ser_1704,0.65,jaccard,2024-11-14
ser_0174,ser_2848,0.92,cosine,2024-03-22
ser_0175,ser_1568,0.56,manual,2024-01-21
ser_0176,ser_1661,0.78,manual,2024-03-06
ser_0177,ser_1564,0.61,cosine,2024-02-23
ser_0178,ser_2609,0.46,collaborative,2024-07-11
ser_0178,ser_2733,0.76,jaccard,2024-04-20
ser_0179,ser_2326,0.43,cosine,2024-07-05
ser_0180,ser_1361,0.58,collaborative,2024-09-27
ser_0181,ser_1644,0.52,cosine,2024-11-24
ser_0181,ser_0299,0.69,cosine,2024-11-07
ser_0182,ser_0105,0.41,manual,2025-02-24
ser_0183,ser_0973,0.55,manual,2024-10-08
ser_0184,ser_0430,0.79,manual,2024-01-04
ser_0185,ser_2329,0.83,cosine,2024-05-11
ser_0186,ser_0694,0.77,collaborative,2025-02-10
ser_0186,ser_0755,0.48,manual,2024-09-25
ser_0186,ser_0632,0.82,jaccard,2024-11-02
ser_0187,ser_0366,0.76,manual,2025-01-05
ser_0188,ser_1717,0.89,cosine,2025-02-13
ser_0189,ser_2283,0.72,collaborative,2024-02-18
ser_0190,ser_2465,0.89,jaccard,2024-08-13
ser_0190,ser_2969,0.62,cosine,2025-03-28
ser_0191,ser_1131,0.77,jaccard,2024-05-28
ser_0191,ser_2491,0.69,manual,2024-06-25
ser_0191,ser_1067,0.79,cosine,2025-04-05
ser_0192,ser_1640,0.46,collaborative,2025-04-10
ser_0193,ser_2145,0.62,jaccard,2025-04-03
ser_0194,ser_0591,0.43,jaccard,2024-07-25
ser_0195,ser_2847,0.5,cosine,2024-03-15
ser_0195,ser_1008,0.95,jaccard,2025-02-10
ser_0196,ser_0765,0.71,jaccard,2025-04-19
ser_0196,ser_1468,0.62,manual,2024-08-15
ser_0196,ser_0711,0.5,collaborative,2024-06-13
ser_0197,ser_1717,0.43,manual,2024-05-09
ser_0197,ser_0644,0.94,cosine,2024-04-16
ser_0197,ser_2471,0.58,cosine,2024-05-22
ser_0198,ser_0486,0.53,collaborative,2024-06-16
ser_0198,ser_1787,0.94,jaccard,2024-01-29
ser_0198,ser_1690,0.6,collaborative,2024-10-08
ser_0199,ser_0695,0.73,manual,2024-08-10
ser_0200,ser_0555,0.82,manual,2024-08-21
ser_0201,ser_2717,0.61,collaborative,2024-03-15
ser_0202,ser_2513,0.84,cosine,2024-03-24
ser_0203,ser_1632,0.74,cosine,2024-02-14
ser_0203,ser_1196,0.53,jaccard,2024-04-01
ser_0203,ser_1558,0.78,collaborative,2025-01-27
ser_0204,ser_0125,0.79,manual,2024-09-24
ser_0205,ser_2266,0.87,manual,2024-07-06
ser_0206,ser_2460,0.63,cosine,2025-01-26
ser_0207,ser_0380,0.93,collaborative,2025-02-23
ser_0207,ser_2968,0.45,manual,2024-09-10
ser_0208,ser_2601,0.76,collaborative,2024-10-17
ser_0208,ser_0283,0.65,manual,2025-02-01
ser_0209,ser_2975,0.89,collaborative,2024-01-02
ser_0210,ser_1102,0.52,jaccard,2025-01-27
ser_0210,ser_1225,0.77,jaccard,2024-02-18
ser_0210,ser_0750,0.6,jaccard,2025-01-08
ser_0211,ser_0834,0.49,collaborative,2024-08-04
ser_0211,ser_2038,0.49,manual,2024-03-07
ser_0212,ser_0505,0.46,manual,2024-03-02
ser_0212,ser_1640,0.66,jaccard,2024-03-12
ser_0212,ser_2543,0.79,jaccard,2024-08-20
ser_0213,ser_2248,0.44,manual,2025-02-26
ser_0214,ser_2137,0.42,cosine,2024-03-11
ser_0214,ser_0033,0.92,jaccard,2024-10-09
ser_0215,ser_0378,0.46,manual,2024-01-05
ser_0215,ser_2651,0.91,collaborative,2024-06-29
ser_0216,ser_0102,0.41,jaccard,2024-05-03
ser_0216,ser_2566,0.63,collaborative,2025-01-07
ser_0217,ser_0262,0.42,jaccard,2025-04-04
ser_0218,ser_2956,0.64,collaborative,2024-03-08
ser_0218,ser_2736,0.59,cosine,2024-11-21
ser_0218,ser_0220,0.85,collaborative,2024-05-13
ser_0219,ser_1085,0.86,collaborative,2024-08-12
ser_0220,ser_0157,0.53,cosine,2024-12-10
ser_0220,ser_1150,0.77,collaborative,2024-11-29
ser_0220,ser_1805,0.66,cosine,2024-11-07
ser_0221,ser_2342,0.71,cosine,2024-06-10
ser_0222,ser_0552,0.83,jaccard,2024-05-09
ser_0223,ser_0846,0.61,cosine,2025-01-07
ser_0224,ser_0892,0.82,cosine,2025-02-23
ser_0224,ser_0767,0.64,collaborative,2024-03-30
ser_0224,ser_0720,0.53,cosine,2024-09-25
ser_0225,ser_2432,0.8,manual,2024-07-26
ser_0225,ser_2521,0.49,manual,2025-02-15
ser_0225,ser_0192,0.84,manual,2024-07-18
ser_0226,ser_0959,0.9,manual,2025-01-18
ser_0226,ser_0610,0.49,cosine,2024-08-27
ser_0227,ser_2238,0.77,cosine,2025-03-06
ser_0227,ser_1487,0.93,manual,2025-03-06
ser_0227,ser_0727,0.87,cosine,2024-04-27
ser_0228,ser_2293,0.59,manual,2024-03-20
ser_0229,ser_1320,0.59,collaborative,2025-04-02
ser_0230,ser_1200,0.87,manual,2024-10-29
ser_0230,ser_1128,0.45,jaccard,2024-01-27
ser_0231,ser_1372,0.53,collaborative,2024-08-22
ser_0232,ser_0164,0.9,jaccard,2024-12-28
ser_0232,ser_0051,0.9,collaborative,2024-12-16
ser_0232,ser_0326,0.68,cosine,2025-03-21
ser_0233,ser_2454,0.67,jaccard,2024-09-22
ser_0233,ser_1943,0.44,cosine,2024-10-28
ser_0233,ser_0329,0.73,collaborative,2025-01-28
ser_0234,ser_0628,0.45,manual,2024-12-18
ser_0234,ser_0257,0.68,cosine,2024-10-21
ser_0235,ser_1826,0.58,cosine,2024-01-14
ser_0235,ser_1870,0.64,collaborative,2025-03-07
ser_0235,ser_1546,0.43,manual,2024-01-08
ser_0236,ser_1469,0.78,cosine,2024-09-15
ser_0237,ser_1905,0.95,jaccard,2024-09-25
ser_0237,ser_2720,0.72,cosine,2024-12-16
ser_0238,ser_2262,0.75,jaccard,2025-01-31
ser_0239,ser_0460,0.54,jaccard,2024-03-22
ser_0239,ser_1461,0.47,manual,2024-08-25
ser_0240,ser_1010,0.86,collaborative,2024-03-09
ser_0241,ser_2459,0.8,cosine,2025-04-21
ser_0242,ser_0872,0.54,collaborative,2024-01-07
ser_0242,ser_1396,0.67,jaccard,2024-12-01
ser_0242,ser_1439,0.51,collaborative,2024-02-25
ser_0243,ser_0354,0.52,manual,2024-01-19
ser_0243,ser_2902,0.66,jaccard,2024-12-28
ser_0243,ser_0683,0.57,cosine,2025-02-15
ser_0244,ser_1273,0.76,cosine,2024-09-06
ser_0244,ser_2110,0.42,cosine,2024-04-18
ser_0244,ser_0973,0.86,cosine,2024-07-22
ser_0245,ser_2686,0.78,collaborative,2024-03-24
ser_0245,ser_1647,0.7,collaborative,2024-03-16
ser_0245,ser_2044,0.76,collaborative,2024-06-27
ser_0246,ser_1529,0.74,collaborative,2024-04-24
ser_0247,ser_1593,0.65,jaccard,2024-03-31
ser_0248,ser_1332,0.43,cosine,2024-12-12
ser_0248,ser_1144,0.81,collaborative,2024-05-23
ser_0248,ser_0432,0.43,cosine,2024-03-21
ser_0249,ser_0175,0.8,cosine,2025-01-02
ser_0249,ser_1510,0.45,jaccard,2024-08-20
ser_0250,ser_2506,0.66,manual,2025-03-27
ser_0250,ser_2663,0.4,collaborative,2024-12-03
ser_0250,ser_0734,0.41,jaccard,2025-03-04
ser_0251,ser_2817,0.74,collaborative,2024-11-07
ser_0251,ser_1052,0.59,collaborative,2024-06-18
ser_0252,ser_2598,0.82,cosine,2025-02-28
ser_0252,ser_1071,0.55,collaborative,2024-05-13
ser_0252,ser_1216,0.8,collaborative,2024-09-30
ser_0253,ser_1596,0.75,manual,2025-02-24
ser_0254,ser_1937,0.67,jaccard,2024-12-20
ser_0255,ser_0577,0.55,manual,2025-04-01
ser_0256,ser_0452,0.79,jaccard,2025-01-04
ser_0257,ser_1935,0.84,manual,2024-11-01
ser_0257,ser_0202,0.91,cosine,2025-04-10
ser_0257,ser_1757,0.79,cosine,2024-05-13
ser_0258,ser_0106,0.43,manual,2024-08-14
ser_0258,ser_0686,0.67,cosine,2024-09-23
ser_0259,ser_1102,0.7,collaborative,2024-06-28
ser_0260,ser_0803,0.44,cosine,2025-03-22
ser_0261,ser_2786,0.43,cosine,2025-03-01
ser_0262,ser_0674,0.52,jaccard,2025-01-29
ser_0263,ser_1097,0.64,cosine,2024-12-09
ser_0264,ser_2384,0.79,jaccard,2024-11-08
ser_0264,ser_1092,0.42,cosine,2025-02-10
ser_0265,ser_0850,0.65,jaccard,2024-12-21
ser_0265,ser_1169,0.69,collaborative,2024-03-11
ser_0265,ser_0507,0.78,jaccard,2024-11-09
ser_0266,ser_1409,0.52,cosine,2025-03-29
ser_0266,ser_0386,0.51,manual,2024-11-07
ser_0267,ser_2777,0.58,cosine,2024-11-21
ser_0267,ser_0565,0.67,jaccard,2024-10-05
ser_0267,ser_2775,0.47,cosine,2025-04-10
ser_0268,ser_1116,0.72,cosine,2024-03-17
ser_0269,ser_0660,0.56,jaccard,2024-12-03
ser_0270,ser_0949,0.88,collaborative,2025-02-18
ser_0271,ser_2279,0.41,manual,2024-03-28
ser_0271,ser_2003,0.89,collaborative,2024-02-12
ser_0272,ser_2568,0.44,manual,2024-01-19
ser_0272,ser_2372,0.67,collaborative,2024-05-09
ser_0273,ser_1584,0.45,jaccard,2024-01-19
ser_0274,ser_1497,0.62,collaborative,2024-04-23
ser_0275,ser_1032,0.47,manual,2024-05-05
ser_0275,ser_2884,0.58,manual,2024-10-10
ser_0276,ser_1051,0.63,cosine,2024-11-09
ser_0276,ser_0285,0.44,manual,2024-01-25
ser_0276,ser_2089,0.83,cosine,2024-12-27
ser_0277,ser_1932,0.77,manual,2024-03-21
ser_0277,ser_0285,0.5,manual,2024-08-26
ser_0277,ser_0118,0.91,cosine,2025-02-02
ser_0278,ser_2393,0.41,manual,2025-04-30
ser_0279,ser_0820,0.84,collaborative,2024-12-30
ser_0279,ser_2578,0.53,jaccard,2024-09-09
ser_0280,ser_1148,0.61,jaccard,2024-02-25
ser_0280,ser_2058,0.77,cosine,2024-03-05
ser_0281,ser_0881,0.83,collaborative,2024-05-28
ser_0281,ser_1628,0.8,manual,2024-05-07
ser_0281,ser_1916,0.73,manual,2024-07-31
ser_0282,ser_1526,0.6,cosine,2024-01-14
ser_0282,ser_1918,0.57,jaccard,2024-01-02
ser_0282,ser_0485,0.72,manual,2024-08-12
ser_0283,ser_0894,0.69,collaborative,2024-01-05
ser_0283,ser_2221,0.83,cosine,2024-06-11
ser_0283,ser_0662,0.49,manual,2024-04-06
ser_0284,ser_1694,0.74,manual,2025-04-09
ser_0284,ser_0902,0.48,cosine,2025-03-23
ser_0285,ser_2701,0.44,jaccard,2024-07-17
ser_0286,ser_2435,0.92,cosine,2024-06-17
ser_0286,ser_1717,0.63,jaccard,2024-04-22
ser_0286,ser_0663,0.95,jaccard,2024-12-08
ser_0287,ser_0573,0.74,jaccard,2024-12-25
ser_0288,ser_1828,0.95,cosine,2024-04-02
ser_0288,ser_0664,0.58,jaccard,2024-12-31
ser_0288,ser_0978,0.52,jaccard,2024-06-23
ser_0289,ser_2282,0.86,jaccard,2025-03-16
ser_0289,ser_0866,0.87,cosine,2024-04-30
ser_0289,ser_2504,0.57,collaborative,2025-03-21
ser_0290,ser_2130,0.79,manual,2024-01-14
ser_0291,ser_1888,0.67,jaccard,2024-01-11
ser_0292,ser_0097,0.83,cosine,2024-12-10
ser_0292,ser_0527,0.9,jaccard,2024-03-25
