actor_id,serie_id,personaje,protagonista,temporadas
act_0734,ser_0026,Soldado,False,1|3|4
act_0503,ser_0026,Mentor,False,3|4
act_0281,ser_0026,Líder,False,1
act_0411,ser_0027,Mentor,True,3|4|7|8|9
act_0258,ser_0027,Mentor,True,1|2|3|4|5|6|8|9
act_0148,ser_0027,Rebelde,False,3|4|5|6|7
act_0356,ser_0027,Médico,False,5|7
act_0629,ser_0027,Médico,False,3|7|9
act_0523,ser_0027,Antagonista Principal,False,1|3|4|6|7|9
act_0225,ser_0027,Detective,False,1|2|5|6|8|9
act_0021,ser_0028,Rebelde,True,1
act_0551,ser_0028,Amigo/a,True,1
act_0689,ser_0028,Médico,False,1
act_0415,ser_0028,Soldado,False,1
act_0272,ser_0028,Médico,False,1
act_0665,ser_0028,Espía,False,1
act_0060,ser_0028,Detective,False,1
act_0178,ser_0028,Médico,False,1
act_0722,ser_0029,Hijo/a,True,1|2|3|4|5|6|7|8|9
act_0699,ser_0029,Mentor,True,2|4|5|6|7|8|9
act_0301,ser_0029,Detective,False,2|3|4|8
act_0199,ser_0029,Protagonista B,False,1|2|3|4|5|6|7|8|9
act_0506,ser_0030,Profesor,True,1
act_0126,ser_0030,Soldado,True,1
act_0290,ser_0030,Médico,False,1
act_0240,ser_0031,Protagonista B,True,1|2|3|4
act_0451,ser_0031,Detective,True,2|4
act_0491,ser_0031,Mentor,False,2|3|4
act_0326,ser_0031,Mentor,False,4
act_0637,ser_0031,Antagonista Principal,False,1|2|3|4
act_0517,ser_0031,Amigo/a,False,1|2|3|4
act_0526,ser_0031,Protagonista B,False,1|2|3|4
act_0356,ser_0032,Amigo/a,True,2|6
act_0067,ser_0032,Soldado,True,1|2|4
act_0616,ser_0032,Soldado,False,1|3
act_0068,ser_0032,Hijo/a,False,2|3|4|5
act_0490,ser_0033,Protagonista B,True,1
act_0233,ser_0033,Profesor,True,1
act_0653,ser_0033,Médico,False,1
act_0121,ser_0033,Antagonista Principal,False,1
act_0464,ser_0033,Protagonista B,False,1
act_0093,ser_0033,Rebelde,False,1
act_0098,ser_0034,Espía,True,3
act_0391,ser_0034,Líder,True,1
act_0485,ser_0034,Protagonista A,False,1|4
act_0470,ser_0034,Soldado,False,2
act_0214,ser_0035,Rebelde,True,1|2
act_0628,ser_0035,Hijo/a,True,1|2
act_0288,ser_0035,Detective,False,1|2
act_0664,ser_0035,Médico,False,1|2
act_0263,ser_0035,Soldado,False,1
act_0192,ser_0035,Detective,False,1
act_0206,ser_0035,Espía,False,2
act_0629,ser_0036,Espía,True,4|5|6
act_0408,ser_0036,Antagonista Principal,True,2|3|4|5|6
act_0277,ser_0036,Líder,False,1|2|3|4|5
act_0601,ser_0036,Profesor,False,2|5
act_0072,ser_0036,Soldado,False,1|3|4|5|6
act_0161,ser_0036,Profesor,False,3
act_0257,ser_0036,Hijo/a,False,2|6
act_0633,ser_0037,Soldado,True,2|10
act_0737,ser_0037,Detective,True,2|3|5|9|12
act_0635,ser_0037,Protagonista A,False,1|3|7
act_0532,ser_0037,Hijo/a,False,2|3|6|8|11
act_0276,ser_0038,Espía,True,2
act_0715,ser_0038,Amigo/a,True,1|2
act_0389,ser_0038,Mentor,False,1|2
act_0248,ser_0038,Hijo/a,False,1
act_0433,ser_0038,Padre/Madre,False,1
act_0181,ser_0039,Hijo/a,True,1|2|3|4
act_0064,ser_0039,Mentor,True,3
act_0274,ser_0039,Médico,False,1|3|4
act_0070,ser_0039,Líder,False,1|2|3|4
act_0177,ser_0040,Soldado,True,1|2|3
act_0785,ser_0040,Mentor,True,1|3
act_0643,ser_0040,Espía,False,1|3
act_0771,ser_0040,Protagonista A,False,3
act_0601,ser_0040,Detective,False,3
act_0107,ser_0041,Rebelde,True,1|2|4|5|6|7|8|10
act_0210,ser_0041,Hijo/a,True,1|3|4|5|6|7|9|10
act_0450,ser_0041,Líder,False,1|5|8|9|10
act_0521,ser_0041,Médico,False,1|2|3|5|6|9|10
act_0085,ser_0042,Protagonista A,True,1|2|3|4|5
act_0679,ser_0042,Médico,True,1|2|4
act_0629,ser_0042,Soldado,False,1|2|3|4
act_0192,ser_0042,Médico,False,1|2|3|4|5
act_0135,ser_0042,Mentor,False,2|3|4|5
act_0191,ser_0042,Protagonista B,False,3
act_0407,ser_0042,Rebelde,False,1|2|3|4|5
act_0692,ser_0042,Hijo/a,False,2|3|4|5
act_0236,ser_0043,Detective,True,2|3|5|6|7|9|10|11
act_0420,ser_0043,Padre/Madre,True,1|5|7
act_0483,ser_0043,Profesor,False,3|4|7|8|10|11
act_0608,ser_0044,Detective,True,1|2|3|5|7|9
act_0181,ser_0044,Antagonista Principal,True,1|3|4|5|6|7|8|9
act_0131,ser_0044,Protagonista A,False,1|2|4|7
act_0102,ser_0045,Líder,True,1|4
act_0790,ser_0045,Detective,True,2|3|4
act_0707,ser_0045,Padre/Madre,False,2|3
act_0298,ser_0045,Soldado,False,3|4
act_0311,ser_0045,Médico,False,1|2
act_0191,ser_0046,Espía,True,3|5
act_0562,ser_0046,Protagonista B,True,3|5|7
act_0553,ser_0046,Profesor,False,2|3
act_0331,ser_0046,Amigo/a,False,1|3|4|6
act_0548,ser_0046,Líder,False,1|3|5|6
act_0341,ser_0046,Soldado,False,1|2|3|4|5|7
act_0315,ser_0047,Mentor,True,3
act_0669,ser_0047,Amigo/a,True,1|2|3|4|5
act_0258,ser_0047,Espía,False,1|3|4|5
act_0671,ser_0047,Profesor,False,1|2|3|5
act_0022,ser_0048,Médico,True,5|6
act_0512,ser_0048,Protagonista A,True,1|2|4|6|7
act_0194,ser_0048,Rebelde,False,1|2|5|7
act_0267,ser_0048,Detective,False,4
act_0517,ser_0048,Amigo/a,False,3|4|6|7
act_0407,ser_0048,Soldado,False,3|4|6
act_0148,ser_0048,Mentor,False,1|2|4|5|7
act_0229,ser_0048,Protagonista A,False,4|6|7
act_0667,ser_0049,Padre/Madre,True,1
act_0264,ser_0049,Profesor,True,1
act_0050,ser_0049,Profesor,False,1
act_0268,ser_0049,Hijo/a,False,1
act_0113,ser_0049,Espía,False,1
act_0359,ser_0049,Protagonista B,False,1
act_0615,ser_0050,Protagonista A,True,1|2|3|4|5|6|7|8
act_0453,ser_0050,Padre/Madre,True,1|8
act_0479,ser_0050,Hijo/a,False,1|2|3|4|5|6|9
act_0711,ser_0050,Profesor,False,1|2|3|4|5|6|7|8|9
act_0737,ser_0050,Rebelde,False,3|5|6|7
act_0447,ser_0051,Profesor,True,1|2|4|7
act_0320,ser_0051,Protagonista A,True,1|2|3|4|6|8
act_0084,ser_0051,Soldado,False,1|2|6|8
act_0159,ser_0051,Espía,False,2|4|6|8
act_0182,ser_0051,Profesor,False,1|5
act_0093,ser_0051,Médico,False,1|2|3|4|6
act_0416,ser_0051,Padre/Madre,False,1
act_0360,ser_0051,Profesor,False,1|2|3|4|5|6|8
act_0219,ser_0052,Rebelde,True,1|2
act_0197,ser_0052,Amigo/a,True,2|3
act_0179,ser_0052,Detective,False,2
act_0709,ser_0052,Antagonista Principal,False,1
act_0068,ser_0052,Espía,False,1|3
act_0467,ser_0052,Protagonista B,False,2|3
act_0197,ser_0053,Rebelde,True,3
act_0711,ser_0053,Profesor,True,3|4|6|7
act_0650,ser_0053,Profesor,False,2|8|9
act_0127,ser_0054,Padre/Madre,True,3|10
act_0352,ser_0054,Rebelde,True,10
act_0321,ser_0054,Mentor,False,1|2|3|4|5|6|7|8|10|12
act_0625,ser_0055,Protagonista A,True,1|2
act_0178,ser_0055,Padre/Madre,True,2
act_0476,ser_0055,Rebelde,False,1
act_0140,ser_0055,Médico,False,1|2
act_0378,ser_0055,Amigo/a,False,2
act_0207,ser_0056,Soldado,True,1
act_0436,ser_0056,Espía,True,1
act_0158,ser_0056,Amigo/a,False,1
act_0675,ser_0056,Protagonista A,False,1
act_0440,ser_0056,Protagonista B,False,1
act_0102,ser_0056,Amigo/a,False,1
act_0634,ser_0057,Soldado,True,1|2|3|4|5|7
act_0688,ser_0057,Hijo/a,True,1|2|4|5|6|7
act_0695,ser_0057,Hijo/a,False,7
act_0471,ser_0057,Mentor,False,4|6
act_0188,ser_0057,Antagonista Principal,False,1|2|4|5|6
act_0497,ser_0057,Detective,False,1|3|5|6
act_0665,ser_0058,Profesor,True,2
act_0097,ser_0058,Protagonista A,True,3
act_0029,ser_0058,Profesor,False,3
act_0758,ser_0058,Espía,False,3
act_0423,ser_0059,Protagonista B,True,3
act_0001,ser_0059,Protagonista A,True,1|4
act_0443,ser_0059,Antagonista Principal,False,1|3|4
act_0361,ser_0059,Protagonista B,False,1|2|4
act_0505,ser_0059,Amigo/a,False,1|2|3
act_0699,ser_0059,Mentor,False,1|2|3|4
act_0756,ser_0060,Amigo/a,True,3|6|8
act_0556,ser_0060,Antagonista Principal,True,1|2|3|4|5|6|8|9|10|11
act_0605,ser_0060,Hijo/a,False,1|4|5|6|8
act_0356,ser_0060,Antagonista Principal,False,1|4
act_0769,ser_0060,Profesor,False,1|2|3|4|5|7|8|9|10|11
act_0740,ser_0060,Padre/Madre,False,1|2|3|4|6|7|8|9
act_0085,ser_0061,Protagonista B,True,4|5|6
act_0330,ser_0061,Antagonista Principal,True,1|2|3|4|5|6|7
act_0369,ser_0061,Padre/Madre,False,3|6|7
act_0202,ser_0061,Protagonista A,False,2|5
act_0341,ser_0061,Espía,False,3|4|5|6|7
act_0312,ser_0061,Protagonista A,False,1|2|3|4|5|6|7
act_0666,ser_0061,Padre/Madre,False,3|6|7
act_0278,ser_0062,Hijo/a,True,1|2|3|4|5|6|7|8|9
act_0408,ser_0062,Médico,True,1|7|8
act_0328,ser_0062,Espía,False,1|3|5
act_0347,ser_0062,Antagonista Principal,False,1|3|4|5
act_0750,ser_0062,Amigo/a,False,1|5|9
act_0547,ser_0062,Líder,False,2|4|6|7|9
act_0449,ser_0063,Profesor,True,3|5|7
act_0451,ser_0063,Protagonista A,True,1|4
act_0588,ser_0063,Protagonista B,False,1|3|4|6|7
act_0204,ser_0063,Antagonista Principal,False,1|3
act_0537,ser_0064,Antagonista Principal,True,2|4|5|6|7|8|9|10
act_0049,ser_0064,Líder,True,1|3|6|8
act_0278,ser_0064,Hijo/a,False,1|3|4|6|9|10|12
act_0572,ser_0064,Profesor,False,1|2|3|4|5|6|7|8|9|10|11
act_0671,ser_0064,Médico,False,1|2|3|4|5|6|7|8|9|10|11|12
act_0759,ser_0064,Soldado,False,1|2|3|4|7|8|9|12
act_0605,ser_0064,Protagonista B,False,2|3|6|9|10|11
act_0338,ser_0064,Antagonista Principal,False,1|2|3|4|6|7|8|9|10|11|12
act_0026,ser_0065,Profesor,True,1|4|5|6|7|8|9|10|11
act_0497,ser_0065,Espía,True,3|9|10|11
act_0184,ser_0065,Padre/Madre,False,3
act_0500,ser_0065,Profesor,False,2|3|4|7|8|9|12
act_0076,ser_0065,Protagonista B,False,2|3|4|5|6|7|8|9|10|11|12
act_0375,ser_0066,Espía,True,4|6|7
act_0518,ser_0066,Profesor,True,2|4|5|6|7
act_0392,ser_0066,Protagonista B,False,1|2|3|6|7
act_0253,ser_0066,Detective,False,2|5|7
act_0751,ser_0066,Mentor,False,1|2|3|4|5|6|7
act_0314,ser_0066,Profesor,False,1|2|3|4|5|6|7
act_0738,ser_0067,Detective,True,1|2|4|11|12
act_0183,ser_0067,Protagonista A,True,4
act_0196,ser_0067,Antagonista Principal,False,1|2|7|10|11|12
act_0700,ser_0067,Médico,False,1|2|4|5|6|7|8|10|11
act_0220,ser_0067,Antagonista Principal,False,1|2|3|4|5|8|11
act_0233,ser_0067,Antagonista Principal,False,1|2|3|4|5|6|7|8|9|10|11|12
act_0447,ser_0067,Antagonista Principal,False,2|3|4|5|7|8|9|10|12
act_0712,ser_0067,Detective,False,3|5|7|8|9|11
act_0701,ser_0068,Detective,True,1
act_0720,ser_0068,Antagonista Principal,True,1|2|3
act_0077,ser_0068,Líder,False,3
act_0003,ser_0068,Médico,False,1|2|3
act_0689,ser_0068,Antagonista Principal,False,2|3
act_0458,ser_0068,Protagonista A,False,3
act_0084,ser_0068,Mentor,False,2
act_0306,ser_0068,Médico,False,2
act_0377,ser_0069,Padre/Madre,True,2
act_0492,ser_0069,Espía,True,1|2|3
act_0349,ser_0069,Profesor,False,1
act_0232,ser_0069,Protagonista B,False,1
act_0165,ser_0070,Profesor,True,1|2|4|6|7|8|9
act_0497,ser_0070,Profesor,True,3|5|7|9
act_0301,ser_0070,Padre/Madre,False,9
act_0482,ser_0070,Líder,False,1|2|3|5|6|7|8|9
act_0630,ser_0070,Detective,False,9
act_0341,ser_0071,Hijo/a,True,2
act_0497,ser_0071,Líder,True,1
act_0379,ser_0071,Rebelde,False,1|2
act_0368,ser_0071,Médico,False,1|2
act_0571,ser_0072,Hijo/a,True,2|3|5|6|7|8
act_0121,ser_0072,Antagonista Principal,True,1|2|3|4|5|6|7|8
act_0580,ser_0072,Padre/Madre,False,3
act_0172,ser_0072,Antagonista Principal,False,2|3|4|5|6
act_0526,ser_0072,Mentor,False,1|2|4|5|6|8
act_0313,ser_0073,Líder,True,1
act_0753,ser_0073,Antagonista Principal,True,1
act_0170,ser_0073,Rebelde,False,1
act_0303,ser_0073,Padre/Madre,False,1
act_0259,ser_0074,Amigo/a,True,6|7
act_0082,ser_0074,Mentor,True,1|2|4|5|7|8|9
act_0213,ser_0074,Médico,False,1|2|3|4|5|6|7|9
act_0671,ser_0074,Hijo/a,False,1|2|3|6|7
act_0318,ser_0075,Antagonista Principal,True,1
act_0141,ser_0075,Protagonista A,True,1
act_0165,ser_0075,Espía,False,1
act_0721,ser_0075,Soldado,False,1
act_0140,ser_0076,Padre/Madre,True,1|3|4|5|6|7|8|9|10|11
act_0181,ser_0076,Soldado,True,5
act_0744,ser_0076,Rebelde,False,1|2|3|4|5|7|8|9|10|11
act_0306,ser_0076,Médico,False,3|4|5|8|9
act_0473,ser_0077,Mentor,True,1|2|7
act_0649,ser_0077,Profesor,True,6|10
act_0687,ser_0077,Amigo/a,False,1|11
act_0613,ser_0077,Padre/Madre,False,2|4|6|7|9|11
act_0287,ser_0077,Detective,False,8|9|10
act_0524,ser_0078,Detective,True,1
act_0633,ser_0078,Soldado,True,1|3|4|6|8
act_0706,ser_0078,Hijo/a,False,4
act_0293,ser_0078,Espía,False,2|5
act_0363,ser_0078,Soldado,False,2|5|6|7|8
act_0098,ser_0078,Padre/Madre,False,1|2|4|5|6|7
act_0627,ser_0079,Profesor,True,2|3
act_0712,ser_0079,Hijo/a,True,1
act_0258,ser_0079,Médico,False,1|2
act_0601,ser_0079,Protagonista A,False,1|2|3|4
act_0340,ser_0079,Detective,False,2|4
act_0189,ser_0080,Detective,True,2
act_0289,ser_0080,Amigo/a,True,1|2
act_0759,ser_0080,Protagonista A,False,1|2
act_0267,ser_0080,Detective,False,2
act_0195,ser_0080,Detective,False,1|2
act_0308,ser_0080,Padre/Madre,False,1|2
act_0460,ser_0080,Rebelde,False,1|2
act_0564,ser_0081,Espía,True,1|2
act_0381,ser_0081,Hijo/a,True,4
act_0154,ser_0081,Espía,False,1|2|3|4|5|6
act_0775,ser_0081,Antagonista Principal,False,1|2|3|4
act_0442,ser_0081,Amigo/a,False,3
act_0015,ser_0081,Antagonista Principal,False,1|2|3|6
act_0551,ser_0081,Amigo/a,False,1|2|3|4|5|6
act_0415,ser_0082,Padre/Madre,True,1|2
act_0028,ser_0082,Soldado,True,1|2
act_0293,ser_0082,Líder,False,2
act_0731,ser_0082,Mentor,False,2
act_0778,ser_0082,Espía,False,1
act_0607,ser_0082,Rebelde,False,1|2
act_0641,ser_0082,Profesor,False,1
act_0201,ser_0083,Médico,True,1|4
act_0109,ser_0083,Soldado,True,1|3|4|6|8
act_0636,ser_0083,Espía,False,1|2|3|4|5|6|7|8
act_0685,ser_0083,Protagonista A,False,1|2|3|8
act_0180,ser_0083,Amigo/a,False,1|2|3|5|7
act_0349,ser_0084,Protagonista A,True,1|2|3|4
act_0541,ser_0084,Espía,True,1|3
act_0026,ser_0084,Líder,False,1|2|3|4
act_0409,ser_0084,Detective,False,1
act_0332,ser_0084,Rebelde,False,4
act_0153,ser_0084,Antagonista Principal,False,1|2|3|4
act_0425,ser_0084,Rebelde,False,1|3|4
act_0523,ser_0085,Médico,True,3|7|8|9|10
act_0355,ser_0085,Profesor,True,2
act_0423,ser_0085,Rebelde,False,2|4|7|8|9
act_0211,ser_0085,Rebelde,False,1|4|6
act_0049,ser_0085,Protagonista B,False,1|2|3|4|5|7|8|9|10
act_0449,ser_0085,Médico,False,1|2|3|4|5|6|7|9
act_0103,ser_0085,Protagonista A,False,5|7|8|9
act_0238,ser_0085,Hijo/a,False,2|6
act_0601,ser_0086,Padre/Madre,True,1
act_0023,ser_0086,Protagonista A,True,1
act_0654,ser_0086,Hijo/a,False,1
act_0643,ser_0086,Rebelde,False,1
act_0547,ser_0086,Padre/Madre,False,1
act_0775,ser_0086,Líder,False,1
act_0653,ser_0086,Protagonista A,False,1
act_0176,ser_0087,Espía,True,1
act_0191,ser_0087,Espía,True,1
act_0779,ser_0087,Antagonista Principal,False,1
act_0703,ser_0087,Padre/Madre,False,1
act_0152,ser_0087,Líder,False,1
act_0673,ser_0088,Líder,True,1
act_0632,ser_0088,Antagonista Principal,True,1
act_0060,ser_0088,Protagonista B,False,1
act_0737,ser_0088,Protagonista B,False,1
act_0514,ser_0088,Protagonista B,False,1
act_0769,ser_0088,Hijo/a,False,1
act_0404,ser_0088,Rebelde,False,1
act_0035,ser_0088,Hijo/a,False,1
act_0329,ser_0089,Médico,True,1
act_0011,ser_0089,Rebelde,True,1
act_0461,ser_0089,Mentor,False,1
act_0728,ser_0089,Detective,False,1
act_0223,ser_0089,Profesor,False,1
act_0520,ser_0090,Mentor,True,1|4|5
act_0118,ser_0090,Protagonista B,True,1
act_0044,ser_0090,Líder,False,1|2|3|4|5|6|7
act_0739,ser_0090,Mentor,False,1|2|3|4|5|6|7
act_0050,ser_0090,Hijo/a,False,2|6|7
act_0749,ser_0090,Protagonista A,False,2
act_0320,ser_0090,Líder,False,1|3|4|5|6|7
act_0064,ser_0090,Antagonista Principal,False,1|2|3|4|5|6|7
act_0004,ser_0091,Profesor,True,1
act_0600,ser_0091,Amigo/a,True,1
act_0366,ser_0091,Padre/Madre,False,1
act_0266,ser_0092,Hijo/a,True,1|5|6|7|9
act_0569,ser_0092,Detective,True,1|3|6|7|8|11
act_0118,ser_0092,Espía,False,7|8
act_0215,ser_0092,Hijo/a,False,2
act_0150,ser_0093,Padre/Madre,True,1|2|3
act_0068,ser_0093,Soldado,True,1|2|3
act_0308,ser_0093,Profesor,False,2
act_0299,ser_0093,Soldado,False,1|2|3
act_0370,ser_0093,Amigo/a,False,1|2|3
act_0385,ser_0093,Hijo/a,False,2
act_0139,ser_0094,Líder,True,2
act_0362,ser_0094,Hijo/a,True,4
act_0237,ser_0094,Médico,False,2|4
act_0067,ser_0094,Médico,False,2
act_0174,ser_0094,Profesor,False,4
act_0063,ser_0095,Médico,True,9
act_0314,ser_0095,Amigo/a,True,5|9
act_0369,ser_0095,Médico,False,1|2|3|4|5|6|7|8|9|10|11
act_0303,ser_0095,Soldado,False,1|4|6|7|9|10|11
act_0384,ser_0095,Profesor,False,1|3|4|7|9|10|11
act_0622,ser_0095,Antagonista Principal,False,1|3|6|7|10|11
act_0714,ser_0095,Profesor,False,2|3|4|5|6|8|9|10
act_0174,ser_0095,Amigo/a,False,1|3|4|5|6|7|8|9|10|11
act_0094,ser_0096,Médico,True,1|4|5|6|7|8
act_0738,ser_0096,Hijo/a,True,1|2|3|4|5|6|7|8
act_0010,ser_0096,Soldado,False,1|3|4|5|8
act_0025,ser_0096,Rebelde,False,2|3|4|6|7|8
act_0095,ser_0096,Antagonista Principal,False,1|2|3|4|5|7|8
act_0480,ser_0096,Detective,False,1|2|3|4|5|6|8
act_0071,ser_0096,Médico,False,1|2|3|4|5|6|8
act_0129,ser_0096,Soldado,False,1
act_0035,ser_0097,Mentor,True,3|4
act_0015,ser_0097,Antagonista Principal,True,1|2
