estudio_id,serie_id,anio,presupuesto,distribucion
est_036,ser_0067,2019,174.03,Streaming exclusivo
est_023,ser_0068,2015,59.99,Regional
est_001,ser_0069,2019,44.91,Global
est_016,ser_0070,2000,192.35,Nacional
est_029,ser_0071,1997,83.76,Streaming exclusivo
est_014,ser_0072,2006,116.71,Regional
est_040,ser_0073,2015,117.37,Regional
est_016,ser_0074,2021,37.61,Global
est_027,ser_0075,2007,199.87,Regional
est_029,ser_0076,2024,119.82,Regional
est_001,ser_0077,2001,189.82,Streaming exclusivo
est_030,ser_0078,1996,43.18,Regional
est_022,ser_0079,2005,156.91,Global
est_012,ser_0080,2011,8.44,Nacional
est_006,ser_0081,2016,2.77,Global
est_018,ser_0082,2017,121.49,Streaming exclusivo
est_035,ser_0083,2010,154.74,Regional
est_029,ser_0084,2013,54.25,Nacional
est_010,ser_0085,2000,27.93,Global
est_035,ser_0086,2010,54.1,Global
est_025,ser_0087,2022,113.05,Streaming exclusivo
est_018,ser_0088,2017,76.04,Streaming exclusivo
est_017,ser_0089,1999,195.84,Streaming exclusivo
est_027,ser_0090,2010,95.64,Global
est_021,ser_0091,2011,73.77,Streaming exclusivo
est_009,ser_0092,2023,145.3,Nacional
est_019,ser_0093,1993,133.91,Streaming exclusivo
est_015,ser_0094,2019,145.73,Regional
est_027,ser_0095,2009,92.27,Regional
est_032,ser_0096,2015,191.88,Regional
est_002,ser_0097,2014,101.25,Nacional
est_018,ser_0098,2019,76.79,Nacional
est_008,ser_0099,2020,87.95,Streaming exclusivo
est_003,ser_0100,2016,12.11,Nacional
est_007,ser_0101,1994,14.73,Nacional
est_012,ser_0102,2012,95.92,Nacional
est_016,ser_0103,2017,180.9,Streaming exclusivo
est_022,ser_0104,2019,70.02,Global
est_015,ser_0105,2014,57.92,Nacional
est_032,ser_0106,2006,81.47,Streaming exclusivo
est_028,ser_0107,1996,171.95,Regional
est_006,ser_0108,1990,197.88,Streaming exclusivo
est_001,ser_0109,2008,97.03,Global
est_039,ser_0110,2022,86.66,Nacional
est_038,ser_0111,2006,166.77,Streaming exclusivo
est_018,ser_0112,2014,3.73,Nacional
est_037,ser_0113,1990,194.26,Nacional
est_026,ser_0114,1990,179.17,Streaming exclusivo
est_005,ser_0115,2011,48.91,Regional
est_003,ser_0116,2014,125.16,Regional
est_003,ser_0117,1998,178.76,Nacional
est_027,ser_0118,2020,57.24,Global
est_035,ser_0119,1992,89.6,Nacional
est_015,ser_0120,2012,107.65,Streaming exclusivo
est_037,ser_0121,2002,159.68,Streaming exclusivo
est_005,ser_0122,2009,70.31,Nacional
est_002,ser_0123,2005,83.84,Regional
est_011,ser_0124,2000,40.6,Nacional
est_008,ser_0125,1998,112.27,Global
est_008,ser_0126,1994,199.5,Streaming exclusivo
est_035,ser_0127,2006,193.07,Streaming exclusivo
est_020,ser_0128,2013,165.5,Streaming exclusivo
est_001,ser_0129,2024,185.56,Nacional
est_040,ser_0130,2004,135.11,Nacional
est_010,ser_0131,2021,40.41,Streaming exclusivo
est_011,ser_0132,1997,186.82,Global
est_033,ser_0133,2014,155.67,Nacional
est_017,ser_0134,2021,136.28,Streaming exclusivo
est_003,ser_0135,2020,190.53,Global
est_019,ser_0136,2015,159.06,Streaming exclusivo
est_003,ser_0137,1998,38.12,Nacional
est_017,ser_0138,1996,151.54,Nacional
est_019,ser_0139,2020,38.2,Nacional
est_003,ser_0140,2005,65.79,Streaming exclusivo
est_033,ser_0141,2019,146.64,Global
est_008,ser_0142,1995,13.6,Nacional
est_014,ser_0143,2020,15.0,Nacional
est_035,ser_0144,1998,180.22,Streaming exclusivo
est_039,ser_0145,2024,15.34,Nacional
est_028,ser_0146,2001,58.26,Global
est_015,ser_0147,1998,190.36,Nacional
est_025,ser_0148,2022,170.71,Global
est_009,ser_0149,1992,34.08,Nacional
est_022,ser_0150,2010,97.91,Global
est_003,ser_0151,2005,11.4,Nacional
est_027,ser_0152,2007,36.53,Nacional
est_006,ser_0153,2015,194.57,Streaming exclusivo
est_032,ser_0154,1994,158.03,Regional
est_016,ser_0155,2016,82.01,Regional
est_034,ser_0156,1997,137.54,Regional
est_033,ser_0157,2013,74.23,Global
est_011,ser_0158,2004,112.72,Regional
est_038,ser_0159,2012,122.18,Streaming exclusivo
est_026,ser_0160,2014,176.93,Streaming exclusivo
est_028,ser_0161,2022,39.67,Regional
est_017,ser_0162,2016,36.27,Global
est_008,ser_0163,2004,95.66,Nacional
est_035,ser_0164,1994,119.89,Nacional
est_006,ser_0165,2021,57.3,Global
est_006,ser_0166,2024,117.48,Nacional
est_037,ser_0167,2005,25.06,Nacional
est_019,ser_0168,2004,35.22,Nacional
est_008,ser_0169,2014,66.7,Global
est_028,ser_0170,2020,22.08,Regional
est_013,ser_0171,2021,155.51,Nacional
est_016,ser_0172,1990,149.06,Global
est_011,ser_0173,2021,12.17,Regional
est_034,ser_0174,1999,94.35,Nacional
est_023,ser_0175,2024,59.5,Streaming exclusivo
est_010,ser_0176,2017,76.22,Streaming exclusivo
est_018,ser_0177,1998,175.71,Global
est_021,ser_0178,1997,22.36,Global
est_019,ser_0179,2014,139.78,Regional
est_026,ser_0180,1990,31.6,Nacional
est_023,ser_0181,2008,172.59,Regional
est_018,ser_0182,1997,5.81,Nacional
est_022,ser_0183,2022,87.81,Global
est_008,ser_0184,2015,58.19,Regional
est_007,ser_0185,1995,81.95,Streaming exclusivo
est_027,ser_0186,2022,91.96,Streaming exclusivo
est_033,ser_0187,2016,56.69,Global
est_026,ser_0188,2003,171.99,Nacional
est_024,ser_0189,2013,144.0,Global
est_019,ser_0190,2013,73.68,Nacional
est_002,ser_0191,1995,125.68,Regional
est_035,ser_0192,2002,104.04,Regional
est_010,ser_0193,2024,15.01,Global
est_032,ser_0194,1997,195.95,Nacional
est_035,ser_0195,1998,191.28,Nacional
est_027,ser_0196,2022,26.28,Regional
est_025,ser_0197,2003,176.85,Nacional
est_025,ser_0198,2006,54.74,Regional
est_040,ser_0199,1992,157.04,Regional
est_002,ser_0200,2003,159.6,Nacional
est_019,ser_0201,2006,42.56,Regional
est_035,ser_0202,2012,17.93,Streaming exclusivo
est_017,ser_0203,1996,67.83,Global
est_026,ser_0204,2007,38.89,Global
est_002,ser_0205,1999,53.89,Nacional
est_010,ser_0206,2021,94.59,Streaming exclusivo
est_020,ser_0207,2002,20.84,Regional
est_001,ser_0208,1996,167.53,Nacional
est_008,ser_0209,2007,169.76,Global
est_033,ser_0210,1995,23.45,Global
est_038,ser_0211,1999,28.54,Global
est_024,ser_0212,2024,31.45,Global
est_001,ser_0213,2017,118.5,Global
est_037,ser_0214,2000,87.73,Streaming exclusivo
est_033,ser_0215,1995,65.46,Streaming exclusivo
est_034,ser_0216,1999,41.39,Regional
est_031,ser_0217,1999,103.73,Streaming exclusivo
est_008,ser_0218,1999,37.84,Streaming exclusivo
est_029,ser_0219,2017,129.11,Streaming exclusivo
est_012,ser_0220,2014,96.46,Global
est_028,ser_0221,2016,91.04,Regional
est_013,ser_0222,1990,89.82,Nacional
est_026,ser_0223,2012,155.59,Streaming exclusivo
est_034,ser_0224,2005,102.02,Streaming exclusivo
est_010,ser_0225,1991,38.34,Streaming exclusivo
est_027,ser_0226,1991,118.81,Streaming exclusivo
est_030,ser_0227,1999,53.46,Regional
est_010,ser_0228,2018,147.75,Streaming exclusivo
est_012,ser_0229,1990,45.88,Streaming exclusivo
est_021,ser_0230,2000,101.3,Streaming exclusivo
est_035,ser_0231,1993,56.7,Streaming exclusivo
est_035,ser_0232,2015,82.22,Global
est_016,ser_0233,1996,53.78,Nacional
est_010,ser_0234,1996,62.28,Global
est_037,ser_0235,1992,188.56,Nacional
est_006,ser_0236,2010,17.46,Streaming exclusivo
est_003,ser_0237,2010,13.53,Streaming exclusivo
est_033,ser_0238,1996,179.51,Nacional
est_036,ser_0239,2008,168.04,Global
est_010,ser_0240,2000,89.36,Global
est_037,ser_0241,2008,192.95,Regional
est_001,ser_0242,1994,109.16,Nacional
est_004,ser_0243,1995,63.26,Streaming exclusivo
est_024,ser_0244,2013,160.5,Global
est_036,ser_0245,2018,113.23,Nacional
est_023,ser_0246,2016,12.86,Streaming exclusivo
est_003,ser_0247,2016,154.56,Streaming exclusivo
est_019,ser_0248,1999,197.15,Streaming exclusivo
est_035,ser_0249,2019,174.69,Nacional
est_026,ser_0250,1996,102.42,Nacional
est_032,ser_0251,2021,151.83,Regional
est_007,ser_0252,1999,163.01,Streaming exclusivo
est_017,ser_0253,2017,165.13,Regional
est_014,ser_0254,1995,113.89,Regional
est_024,ser_0255,2003,101.04,Global
est_019,ser_0256,2002,47.48,Streaming exclusivo
est_018,ser_0257,2014,15.37,Regional
est_029,ser_0258,1990,31.89,Global
est_012,ser_0259,2006,29.98,Regional
est_030,ser_0260,2002,105.39,Regional
est_034,ser_0261,2002,180.7,Streaming exclusivo
est_013,ser_0262,2019,173.31,Regional
est_010,ser_0263,2019,169.29,Regional
est_032,ser_0264,2017,187.21,Nacional
est_035,ser_0265,1996,113.31,Streaming exclusivo
est_037,ser_0266,1992,86.84,Global
est_001,ser_0267,2020,23.99,Nacional
est_019,ser_0268,2022,44.08,Regional
est_020,ser_0269,1990,38.52,Regional
est_023,ser_0270,2017,125.71,Streaming exclusivo
est_038,ser_0271,1998,173.16,Streaming exclusivo
est_038,ser_0272,1996,54.09,Nacional
est_015,ser_0273,2010,157.4,Streaming exclusivo
est_008,ser_0274,2024,41.25,Global
est_005,ser_0275,2001,84.65,Global
est_016,ser_0276,1993,69.25,Global
est_028,ser_0277,1997,83.23,Global
est_033,ser_0278,1991,60.36,Global
est_032,ser_0279,2018,188.58,Global
est_004,ser_0280,2020,155.33,Regional
est_021,ser_0281,1991,73.11,Regional
est_004,ser_0282,2003,177.12,Streaming exclusivo
est_018,ser_0283,2002,39.23,Regional
est_035,ser_0284,2022,86.14,Global
est_036,ser_0285,2009,41.81,Streaming exclusivo
est_016,ser_0286,2007,154.7,Regional
est_005,ser_0287,2013,171.34,Streaming exclusivo
est_010,ser_0288,2012,169.04,Streaming exclusivo
est_012,ser_0289,1994,32.88,Streaming exclusivo
est_038,ser_0290,1990,123.58,Global
est_026,ser_0291,2003,166.3,Streaming exclusivo
est_006,ser_0292,2010,195.68,Nacional
est_006,ser_0293,1997,20.23,Regional
est_007,ser_0294,2008,6.78,Regional
est_013,ser_0295,1992,40.98,Nacional
est_027,ser_0296,2007,7.4,Streaming exclusivo
est_012,ser_0297,2015,32.23,Streaming exclusivo
est_035,ser_0298,1991,106.09,Streaming exclusivo
est_001,ser_0299,2002,114.05,Global
est_003,ser_0300,1993,111.38,Streaming exclusivo
est_016,ser_0301,2019,161.65,Streaming exclusivo
est_003,ser_0302,2005,169.42,Global
est_024,ser_0303,2006,36.61,Regional
est_037,ser_0304,2021,175.75,Nacional
est_024,ser_0305,1996,184.93,Global
est_014,ser_0306,2022,101.34,Global
est_024,ser_0307,2002,171.73,Streaming exclusivo
est_011,ser_0308,1999,134.76,Global
est_004,ser_0309,2007,158.29,Nacional
est_011,ser_0310,1995,20.84,Regional
est_021,ser_0311,2007,95.69,Nacional
est_009,ser_0312,2007,158.16,Global
est_031,ser_0313,1997,12.68,Streaming exclusivo
est_007,ser_0314,1996,57.55,Regional
est_034,ser_0315,2021,154.55,Nacional
est_014,ser_0316,2001,44.39,Global
est_014,ser_0317,2001,183.81,Global
est_039,ser_0318,2001,74.04,Global
est_032,ser_0319,1990,163.58,Global
est_001,ser_0320,2004,25.36,Regional
est_039,ser_0321,2021,67.57,Global
est_038,ser_0322,1990,110.92,Regional
est_037,ser_0323,1991,95.58,Nacional
est_030,ser_0324,2005,33.67,Regional
est_001,ser_0325,1996,104.79,Nacional
est_040,ser_0326,2011,72.82,Regional
est_027,ser_0327,2011,4.66,Regional
est_008,ser_0328,2021,117.41,Nacional
est_015,ser_0329,2008,182.89,Streaming exclusivo
est_022,ser_0330,1997,68.24,Global
est_024,ser_0331,1998,75.72,Nacional
est_029,ser_0332,2002,196.49,Global
est_013,ser_0333,2005,79.34,Streaming exclusivo
est_005,ser_0334,2017,115.28,Regional
est_039,ser_0335,2002,65.06,Nacional
est_018,ser_0336,1996,195.88,Nacional
est_003,ser_0337,2019,88.3,Nacional
est_026,ser_0338,2009,154.5,Nacional
est_040,ser_0339,2015,40.88,Streaming exclusivo
est_015,ser_0340,1996,153.72,Regional
est_017,ser_0341,2022,139.61,Global
est_024,ser_0342,2009,75.69,Streaming exclusivo
est_014,ser_0343,1999,100.53,Global
est_011,ser_0344,1991,93.05,Global
est_011,ser_0345,2005,66.32,Global
est_023,ser_0346,1991,33.57,Streaming exclusivo
est_028,ser_0347,2002,22.7,Regional
est_031,ser_0348,2015,177.05,Regional
est_025,ser_0349,2008,17.86,Nacional
est_029,ser_0350,2018,67.9,Regional
est_002,ser_0351,2000,157.91,Nacional
est_027,ser_0352,2001,189.08,Nacional
est_025,ser_0353,2015,170.82,Nacional
est_013,ser_0354,2022,10.19,Global
est_032,ser_0355,1991,85.71,Global
est_008,ser_0356,2005,176.33,Nacional
est_034,ser_0357,2006,127.41,Streaming exclusivo
est_030,ser_0358,2001,33.88,Nacional
est_006,ser_0359,2021,30.54,Nacional
est_031,ser_0360,1995,88.0,Nacional
est_022,ser_0361,2024,17.5,Regional
est_010,ser_0362,2020,86.41,Nacional
est_037,ser_0363,2014,5.88,Regional
est_008,ser_0364,2024,44.73,Global
est_012,ser_0365,2024,28.81,Regional
est_026,ser_0366,2024,20.95,Regional
est_026,ser_0367,2006,146.37,Streaming exclusivo
est_031,ser_0368,2005,20.13,Streaming exclusivo
est_001,ser_0369,1995,42.69,Regional
est_028,ser_0370,2022,118.0,Streaming exclusivo
est_006,ser_0371,1991,181.44,Regional
est_019,ser_0372,2014,80.81,Nacional
est_034,ser_0373,2013,107.71,Global
est_020,ser_0374,1990,179.69,Global
est_011,ser_0375,1994,122.09,Nacional
est_030,ser_0376,2005,162.04,Regional
est_025,ser_0377,2024,75.53,Global
est_006,ser_0378,2008,124.88,Regional
est_035,ser_0379,2021,177.39,Global
est_006,ser_0380,1997,195.4,Nacional
est_023,ser_0381,1997,128.42,Streaming exclusivo
est_031,ser_0382,1993,101.73,Streaming exclusivo
est_018,ser_0383,1992,137.73,Nacional
est_013,ser_0384,2011,156.49,Regional
est_040,ser_0385,1996,15.98,Regional
est_026,ser_0386,2023,89.56,Streaming exclusivo
est_032,ser_0387,2007,16.15,Regional
est_009,ser_0388,2007,94.11,Streaming exclusivo
est_015,ser_0389,2010,11.34,Global
est_021,ser_0390,1992,96.01,Nacional
est_027,ser_0391,2007,120.4,Streaming exclusivo
est_039,ser_0392,2021,41.4,Regional
est_023,ser_0393,2001,184.77,Nacional
est_025,ser_0394,2006,146.66,Global
est_021,ser_0395,1994,18.15,Global
est_002,ser_0396,2013,22.3,Regional
est_023,ser_0397,2013,176.76,Streaming exclusivo
est_016,ser_0398,2000,63.49,Regional
est_023,ser_0399,2010,67.4,Nacional
est_013,ser_0400,1992,154.88,Nacional
est_012,ser_0401,2016,161.25,Streaming exclusivo
est_018,ser_0402,2002,34.36,Nacional
est_008,ser_0403,2010,85.45,Global
est_028,ser_0404,2022,6.27,Regional
est_001,ser_0405,1998,91.18,Regional
est_006,ser_0406,2010,144.29,Global
est_030,ser_0407,2001,187.93,Nacional
est_034,ser_0408,1992,131.6,Regional
est_019,ser_0409,1998,34.81,Streaming exclusivo
est_021,ser_0410,1996,150.21,Nacional
est_037,ser_0411,2020,147.88,Nacional
est_002,ser_0412,2013,167.59,Regional
est_010,ser_0413,2021,153.65,Global
est_032,ser_0414,2010,199.3,Global
est_001,ser_0415,2010,50.82,Regional
est_010,ser_0416,2004,26.61,Global
est_025,ser_0417,1999,70.68,Global
est_015,ser_0418,2024,120.01,Regional
est_039,ser_0419,2017,67.13,Streaming exclusivo
est_004,ser_0420,1995,128.53,Regional
est_019,ser_0421,1994,71.45,Global
est_021,ser_0422,2017,63.96,Nacional
est_023,ser_0423,2005,16.7,Streaming exclusivo
est_022,ser_0424,2021,5.73,Regional
est_023,ser_0425,1990,182.12,Global
est_025,ser_0426,2006,187.78,Streaming exclusivo
est_018,ser_0427,2009,111.94,Nacional
est_018,ser_0428,2024,148.73,Nacional
est_019,ser_0429,2005,121.49,Nacional
est_035,ser_0430,2016,104.51,Nacional
est_023,ser_0431,2010,4.71,Global
est_001,ser_0432,1993,173.3,Regional
est_027,ser_0433,2004,44.3,Streaming exclusivo
est_006,ser_0434,2024,138.04,Regional
est_032,ser_0435,1994,102.7,Streaming exclusivo
est_015,ser_0436,2004,33.68,Global
est_028,ser_0437,1990,92.51,Global
est_024,ser_0438,2008,6.02,Global
est_027,ser_0439,2014,143.08,Streaming exclusivo
est_039,ser_0440,2016,27.28,Nacional
est_011,ser_0441,2002,143.35,Regional
est_013,ser_0442,2002,160.5,Nacional
est_005,ser_0443,1995,135.43,Regional
est_001,ser_0444,2005,190.15,Streaming exclusivo
est_031,ser_0445,2018,141.53,Streaming exclusivo
est_014,ser_0446,1996,22.08,Global
est_017,ser_0447,2005,38.16,Nacional
est_034,ser_0448,2011,71.18,Streaming exclusivo
est_016,ser_0449,2021,90.63,Streaming exclusivo
est_033,ser_0450,1995,139.71,Streaming exclusivo
est_039,ser_0451,1997,178.95,Nacional
est_023,ser_0452,2021,18.54,Nacional
est_005,ser_0453,2013,105.16,Global
est_010,ser_0454,2019,59.88,Regional
est_005,ser_0455,1990,85.62,Nacional
est_019,ser_0456,2002,176.24,Nacional
est_030,ser_0457,2004,151.86,Regional
est_039,ser_0458,2013,40.74,Global
est_037,ser_0459,1996,6.81,Regional
est_026,ser_0460,2014,83.49,Global
est_010,ser_0461,1990,149.98,Streaming exclusivo
est_038,ser_0462,1990,198.43,Nacional
est_015,ser_0463,2010,26.18,Regional
est_007,ser_0464,2012,141.31,Streaming exclusivo
est_023,ser_0465,1999,191.16,Streaming exclusivo
est_024,ser_0466,2012,95.71,Global
est_009,ser_0467,2002,49.26,Streaming exclusivo
est_011,ser_0468,2002,108.98,Nacional
est_040,ser_0469,2007,107.73,Nacional
est_007,ser_0470,1993,199.77,Nacional
est_016,ser_0471,2024,68.84,Regional
est_009,ser_0472,2016,153.63,Global
est_035,ser_0473,2007,133.15,Global
est_038,ser_0474,2013,93.39,Streaming exclusivo
est_022,ser_0475,2007,6.51,Regional
est_036,ser_0476,2009,155.57,Regional
est_039,ser_0477,1995,137.62,Streaming exclusivo
est_016,ser_0478,1991,74.68,Nacional
est_018,ser_0479,2009,128.76,Global
est_028,ser_0480,1998,96.84,Nacional
est_038,ser_0481,2006,129.05,Global
est_015,ser_0482,2014,145.94,Regional
est_003,ser_0483,2003,183.26,Nacional
est_023,ser_0484,2006,185.71,Streaming exclusivo
est_012,ser_0485,2010,27.02,Streaming exclusivo
est_019,ser_0486,1990,182.64,Nacional
est_026,ser_0487,2000,89.98,Global
est_023,ser_0488,2005,65.33,Nacional
est_003,ser_0489,2004,130.45,Regional
est_007,ser_0490,2000,162.77,Streaming exclusivo
est_038,ser_0491,2009,153.13,Regional
est_030,ser_0492,2009,84.87,Global
est_008,ser_0493,2013,16.71,Global
est_033,ser_0494,2014,74.48,Global
est_037,ser_0495,2010,147.51,Regional
est_025,ser_0496,1991,128.03,Regional
est_001,ser_0497,1990,191.72,Nacional
est_005,ser_0498,1992,158.15,Streaming exclusivo
est_005,ser_0499,2008,56.61,Nacional
est_031,ser_0500,2015,161.41,Global
est_012,ser_0501,1990,75.36,Regional
est_010,ser_0502,2015,171.21,Streaming exclusivo
est_014,ser_0503,2022,135.66,Streaming exclusivo
est_027,ser_0504,2024,24.91,Streaming exclusivo
est_032,ser_0505,2002,63.13,Global
est_017,ser_0506,1992,104.74,Nacional
est_007,ser_0507,2011,68.2,Global
est_023,ser_0508,2016,147.38,Nacional
est_027,ser_0509,2024,13.69,Streaming exclusivo
est_020,ser_0510,2017,52.02,Global
est_003,ser_0511,2010,46.31,Global
est_003,ser_0512,2011,90.99,Regional
est_017,ser_0513,2002,76.51,Regional
est_040,ser_0514,2020,88.35,Global
est_020,ser_0515,2015,163.21,Streaming exclusivo
est_035,ser_0516,1998,173.41,Global
est_020,ser_0517,1991,169.83,Global
est_010,ser_0518,2011,51.3,Global
est_023,ser_0519,2018,35.08,Streaming exclusivo
est_037,ser_0520,2006,155.34,Regional
est_035,ser_0521,2023,43.04,Nacional
est_009,ser_0522,2000,4.25,Streaming exclusivo
est_029,ser_0523,2005,146.95,Nacional
est_005,ser_0524,2003,136.36,Regional
est_032,ser_0525,2016,148.84,Nacional
est_025,ser_0526,2024,173.96,Global
est_007,ser_0527,2008,91.81,Streaming exclusivo
est_014,ser_0528,2016,104.53,Streaming exclusivo
est_034,ser_0529,2022,69.06,Nacional
est_039,ser_0530,2000,197.59,Global
est_026,ser_0531,2002,93.98,Nacional
est_017,ser_0532,1998,151.02,Global
est_039,ser_0533,2001,85.08,Regional
est_010,ser_0534,1994,120.43,Nacional
est_016,ser_0535,2016,113.43,Global
est_012,ser_0536,1992,35.68,Regional
est_026,ser_0537,1999,44.38,Global
est_040,ser_0538,1999,95.31,Regional
est_039,ser_0539,2019,164.18,Global
est_026,ser_0540,2007,161.11,Global
est_026,ser_0541,2013,150.18,Streaming exclusivo
est_015,ser_0542,1999,42.55,Global
est_008,ser_0543,2009,163.62,Nacional
est_015,ser_0544,2012,190.11,Nacional
est_020,ser_0545,2023,145.78,Nacional
est_015,ser_0546,2003,88.13,Nacional
est_005,ser_0547,2019,31.11,Nacional
est_038,ser_0548,2015,163.83,Nacional
est_010,ser_0549,2023,4.44,Regional
est_003,ser_0550,2007,104.1,Nacional
est_020,ser_0551,1993,62.54,Regional
est_017,ser_0552,2002,107.26,Streaming exclusivo
est_036,ser_0553,2003,46.63,Nacional
est_037,ser_0554,2019,156.89,Streaming exclusivo
est_032,ser_0555,2011,25.86,Nacional
est_017,ser_0556,2011,174.27,Global
est_020,ser_0557,1990,156.38,Regional
est_018,ser_0558,2017,36.66,Nacional
est_017,ser_0559,2003,137.9,Nacional
est_014,ser_0560,2003,107.48,Nacional
est_027,ser_0561,2000,175.19,Global
est_001,ser_0562,2020,40.67,Global
est_017,ser_0563,2017,190.05,Nacional
est_025,ser_0564,1998,13.21,Global
est_024,ser_0565,2008,95.0,Regional
est_006,ser_0566,2007,158.27,Regional
est_017,ser_0567,2021,154.41,Nacional
est_005,ser_0568,2011,198.88,Regional
est_027,ser_0569,2010,173.6,Nacional
est_023,ser_0570,2018,100.82,Global
est_028,ser_0571,1994,65.56,Nacional
est_012,ser_0572,2002,8.15,Nacional
est_030,ser_0573,2017,60.07,Regional
est_010,ser_0574,2017,156.6,Global
est_018,ser_0575,1994,99.36,Global
est_036,ser_0576,2002,17.81,Nacional
est_037,ser_0577,1994,29.8,Global
est_039,ser_0578,2008,35.48,Nacional
est_030,ser_0579,1999,18.06,Nacional
est_020,ser_0580,2012,52.54,Nacional
est_016,ser_0581,2024,27.42,Nacional
est_024,ser_0582,2002,165.97,Nacional
est_029,ser_0583,2018,115.42,Streaming exclusivo
est_003,ser_0584,2018,12.1,Nacional
est_013,ser_0585,2023,13.26,Global
est_024,ser_0586,2002,70.03,Streaming exclusivo
est_015,ser_0587,2019,135.23,Nacional
est_013,ser_0588,1994,106.64,Regional
est_003,ser_0589,2007,118.21,Nacional
est_037,ser_0590,1998,169.43,Global
est_001,ser_0591,2016,141.05,Regional
est_038,ser_0592,2021,180.46,Streaming exclusivo
est_030,ser_0593,2011,108.0,Global
est_028,ser_0594,2014,30.53,Regional
est_012,ser_0595,1995,114.65,Streaming exclusivo
est_029,ser_0596,1990,43.7,Nacional
est_010,ser_0597,2020,160.85,Nacional
est_031,ser_0598,1999,99.82,Global
est_016,ser_0599,2006,31.01,Regional
est_006,ser_0600,2017,96.23,Global
est_031,ser_0601,2002,134.08,Streaming exclusivo
est_030,ser_0602,1990,71.42,Regional
est_032,ser_0603,2006,94.03,Regional
est_034,ser_0604,2011,133.88,Nacional
est_007,ser_0605,1994,73.97,Streaming exclusivo
est_013,ser_0606,2008,29.59,Nacional
est_029,ser_0607,2015,50.22,Global
est_012,ser_0608,1999,145.81,Streaming exclusivo
est_028,ser_0609,2013,31.61,Global
est_031,ser_0610,2007,177.36,Streaming exclusivo
est_013,ser_0611,2010,170.72,Global
est_004,ser_0612,2003,128.4,Global
est_021,ser_0613,2000,195.82,Regional
est_017,ser_0614,1994,133.92,Regional
est_018,ser_0615,2003,133.35,Nacional
est_013,ser_0616,2023,89.25,Streaming exclusivo
est_020,ser_0617,2009,197.59,Streaming exclusivo
est_036,ser_0618,1992,46.95,Streaming exclusivo
est_008,ser_0619,2021,29.97,Global
est_026,ser_0620,2017,165.8,Regional
