id,titulo,sinopsis,anio,calificacion,numTemporadas,numEpisodios,estadoEmision,activa
ser_0029,Dark Side Eve,Comedia que retrata la vida cotidiana con humor inteligente.,2022,5.8,9,43,True,False
ser_0030,Mindhunter Tower,Misterio y suspenso se entrelazan en esta serie cautivadora.,2011,6.14,1,138,True,True
ser_0031,Shogun Profesor,Acción sin tregua en una aventura llena de giros inesperados.,1993,5.99,4,169,True,True
ser_0032,La Blinders,Romance que desafía las convenciones sociales de la época.,2020,7.48,6,154,False,True
ser_0033,Hacks Bear,"En un mundo donde las reglas se rompen, surgen héroes inesperados.",2000,6.63,1,132,True,True
ser_0034,Through alorian,Romance que desafía las convenciones sociales de la época.,2004,7.62,4,129,False,False
ser_0035,Wednesday Jones,Una historia épica que cambia el destino de los protagonistas para siempre.,2001,6.1,2,97,True,True
ser_0036,Loki ession,Una mirada profunda a la condición humana en tiempos difíciles.,2018,7.66,6,17,True,True
ser_0037,Yellowjackets ession,Una mirada profunda a la condición humana en tiempos difíciles.,2001,9.14,12,50,False,True
ser_0038,Ted Blinders,"Drama intenso sobre familia, lealtad y traición.",1991,8.89,2,11,True,False
ser_0039,Among Saul,Una mirada profunda a la condición humana en tiempos difíciles.,2011,5.77,4,100,False,True
ser_0040,Pachinko of Cards,"En un mundo donde las reglas se rompen, surgen héroes inesperados.",2017,4.69,3,54,True,False
ser_0041,Bridgerton Game,Una mirada profunda a la condición humana en tiempos difíciles.,2017,9.34,10,156,True,True
ser_0042,Wanda Game,Una historia épica que cambia el destino de los protagonistas para siempre.,2005,7.65,5,38,False,True
ser_0043,The Walking k,"Drama intenso sobre familia, lealtad y traición.",1994,6.95,11,198,False,False
ser_0044,Slow Horses hunter,Comedia que retrata la vida cotidiana con humor inteligente.,2001,8.13,9,183,False,False
ser_0045,Fargo Lasso,Una saga familiar que recorre generaciones y secretos.,2015,7.77,4,62,True,False
ser_0046,Shogun Jones,Misterio y suspenso se entrelazan en esta serie cautivadora.,2003,6.47,7,152,True,True
ser_0047,Reacher to Ashes,"Drama intenso sobre familia, lealtad y traición.",1995,8.36,5,119,False,True
ser_0048,Dark Side Things,Investigación criminal que pone a prueba los límites de la justicia.,2019,7.6,7,121,False,False
ser_0049,Barry lout,Comedia que retrata la vida cotidiana con humor inteligente.,2021,5.58,1,51,False,True
ser_0050,Beef the Dragon,"En un mundo donde las reglas se rompen, surgen héroes inesperados.",2012,5.71,9,137,True,True
ser_0051,Andor Bad,"En un mundo donde las reglas se rompen, surgen héroes inesperados.",1997,6.09,9,57,False,True
ser_0052,Reacher ia,Una mirada profunda a la condición humana en tiempos difíciles.,2007,8.09,3,198,False,True
ser_0053,Sherlock ession,Acción sin tregua en una aventura llena de giros inesperados.,2012,9.49,10,199,True,False
ser_0054,Among Profesor,Acción sin tregua en una aventura llena de giros inesperados.,1999,5.32,12,197,True,False
ser_0055,Andor Chefs,Romance que desafía las convenciones sociales de la época.,2019,5.98,2,86,True,False
ser_0056,Hacks Mrs. Maisel,Romance que desafía las convenciones sociales de la época.,2018,8.95,1,101,True,True
ser_0057,Mindhunter of Us,Comedia que retrata la vida cotidiana con humor inteligente.,2021,5.97,7,114,False,True
ser_0058,Narcos Manor,Una saga familiar que recorre generaciones y secretos.,1991,8.56,3,45,False,False
ser_0059,Outlander Mrs. Maisel,"En un mundo donde las reglas se rompen, surgen héroes inesperados.",2015,7.1,4,127,True,True
ser_0060,Lost lock,"En un mundo donde las reglas se rompen, surgen héroes inesperados.",2009,4.99,11,147,True,True
ser_0061,Inside os,"Drama intenso sobre familia, lealtad y traición.",1991,5.15,7,78,True,True
ser_0062,Fleabag Chefs,Romance que desafía las convenciones sociales de la época.,1994,4.33,9,8,True,True
ser_0063,Barry Jones,"En un mundo donde las reglas se rompen, surgen héroes inesperados.",2000,4.75,7,128,True,False
ser_0064,Wednesday  Mirror,Misterio y suspenso se entrelazan en esta serie cautivadora.,2003,6.51,12,176,False,True
ser_0065,Inside  Town,Una saga familiar que recorre generaciones y secretos.,2009,5.18,12,181,False,True
ser_0066,Yellowjackets of Us,Romance que desafía las convenciones sociales de la época.,1999,4.37,7,160,True,True
ser_0067,Lost os,Romance que desafía las convenciones sociales de la época.,2019,7.34,12,29,False,False
ser_0068,Casa ia,Una saga familiar que recorre generaciones y secretos.,2015,8.78,3,112,True,True
ser_0069,Above Eve,Acción sin tregua en una aventura llena de giros inesperados.,2019,9.28,3,184,True,False
ser_0070,Game of Vision,Misterio y suspenso se entrelazan en esta serie cautivadora.,2000,9.12,9,80,True,True
ser_0071,The Sympathizer Lotus,Comedia que retrata la vida cotidiana con humor inteligente.,1997,4.44,2,135,False,False
ser_0072,Abbott Detective,Una mirada profunda a la condición humana en tiempos difíciles.,2006,6.94,8,12,True,False
ser_0073,Outlander Bear,Una mirada profunda a la condición humana en tiempos difíciles.,2015,6.3,1,70,True,True
ser_0074,Narcos hunter,Romance que desafía las convenciones sociales de la época.,2021,4.4,9,174,True,False
ser_0075,The Mandalorian k,"Drama intenso sobre familia, lealtad y traición.",2007,4.99,1,161,True,True
ser_0076,Fleabag Saul,Acción sin tregua en una aventura llena de giros inesperados.,2024,4.98,11,8,False,True
ser_0077,Reservation or,Una mirada profunda a la condición humana en tiempos difíciles.,2001,8.14,11,142,True,False
ser_0078,Breaking Chefs,Acción sin tregua en una aventura llena de giros inesperados.,1996,8.0,8,19,True,True
ser_0079,Outlander Blinders,Comedia que retrata la vida cotidiana con humor inteligente.,2005,9.27,4,29,True,False
ser_0080,Money of Us,Una mirada profunda a la condición humana en tiempos difíciles.,2011,7.94,2,62,True,True
ser_0081,Foundation Things,Investigación criminal que pone a prueba los límites de la justicia.,2016,4.62,6,88,True,True
ser_0082,Squid Jones,"En un mundo donde las reglas se rompen, surgen héroes inesperados.",2017,5.35,2,97,False,True
ser_0083,Dark Jones,Una historia épica que cambia el destino de los protagonistas para siempre.,2010,6.26,8,62,True,True
ser_0084,Among of Cards,Una historia épica que cambia el destino de los protagonistas para siempre.,2013,4.39,4,111,False,False
ser_0085,Mr. Dynasty,Misterio y suspenso se entrelazan en esta serie cautivadora.,2000,9.56,10,89,False,True
ser_0086,El Robot,Romance que desafía las convenciones sociales de la época.,2010,4.39,1,161,False,False
ser_0087,The Diplomat alorian,Una saga familiar que recorre generaciones y secretos.,2022,8.09,1,65,True,True
ser_0088,Mindhunter Vision,Una mirada profunda a la condición humana en tiempos difíciles.,2017,7.59,1,41,False,False
ser_0089,Fleabag Blinders,Acción sin tregua en una aventura llena de giros inesperados.,1999,5.19,1,66,False,True
ser_0090,The Mandalorian Lasso,Una historia épica que cambia el destino de los protagonistas para siempre.,2010,7.02,7,171,False,True
ser_0091,Andor Bear,Una mirada profunda a la condición humana en tiempos difíciles.,2011,5.19,1,176,True,True
ser_0092,Inside f,Comedia que retrata la vida cotidiana con humor inteligente.,2023,5.06,11,7,True,False
ser_0093,The Crown Blinders,"Drama intenso sobre familia, lealtad y traición.",1993,9.44,3,29,True,True
ser_0094,The Walking Eve,Misterio y suspenso se entrelazan en esta serie cautivadora.,2019,4.95,4,68,False,True
ser_0095,Inside Vision,Misterio y suspenso se entrelazan en esta serie cautivadora.,2009,7.34,11,57,False,False
ser_0096,The Walking lout,Acción sin tregua en una aventura llena de giros inesperados.,2015,4.97,8,114,False,True
ser_0097,True Detective  Materials,Acción sin tregua en una aventura llena de giros inesperados.,2014,8.95,5,158,True,True
ser_0098,Reacher f,Misterio y suspenso se entrelazan en esta serie cautivadora.,2019,6.63,7,149,False,True
ser_0099,El  Mirror,Una mirada profunda a la condición humana en tiempos difíciles.,2020,4.9,4,7,True,True
ser_0100,Mare of Jones,Acción sin tregua en una aventura llena de giros inesperados.,2016,9.63,6,104,False,True
ser_0101,Across Manor,Acción sin tregua en una aventura llena de giros inesperados.,1994,9.13,2,104,True,True
ser_0102,What We  Ted,Investigación criminal que pone a prueba los límites de la justicia.,2012,8.11,11,182,False,True
ser_0103,Among f,Una mirada profunda a la condición humana en tiempos difíciles.,2017,5.41,1,98,True,True
ser_0104,Beef Tower,"Drama intenso sobre familia, lealtad y traición.",2019,5.47,10,154,True,True
ser_0105,Peaky Thrones,Acción sin tregua en una aventura llena de giros inesperados.,2014,8.1,2,138,True,False
ser_0106,Foundation Eve,Misterio y suspenso se entrelazan en esta serie cautivadora.,2006,6.9,9,174,False,True
ser_0107,Barry Thrones,Una saga familiar que recorre generaciones y secretos.,1996,8.5,6,42,False,True
ser_0108,Chernobyl ia,"Drama intenso sobre familia, lealtad y traición.",1990,8.74,1,30,True,False
ser_0109,Pachinko Lotus,Acción sin tregua en una aventura llena de giros inesperados.,2008,4.99,6,53,True,True
ser_0110,Mare of Robot,"En un mundo donde las reglas se rompen, surgen héroes inesperados.",2022,6.61,4,53,True,True
ser_0111,Succession Blinders,Acción sin tregua en una aventura llena de giros inesperados.,2006,6.56,10,33,True,True
ser_0112,Fleabag Thrones,"En un mundo donde las reglas se rompen, surgen héroes inesperados.",2014,5.61,6,13,True,False
ser_0113,Mare of Bad,Una historia épica que cambia el destino de los protagonistas para siempre.,1990,5.54,1,176,True,True
ser_0114,Squid Chefs,Acción sin tregua en una aventura llena de giros inesperados.,1990,7.5,5,130,False,True
ser_0115,Inside Eve,Comedia que retrata la vida cotidiana con humor inteligente.,2011,7.95,6,86,True,True
ser_0116,Without Jones,Una saga familiar que recorre generaciones y secretos.,2014,4.33,6,90,True,True
ser_0117,Big Jones,Una historia épica que cambia el destino de los protagonistas para siempre.,1998,7.49,9,77,True,True
ser_0118,Abbott of Cards,Investigación criminal que pone a prueba los límites de la justicia.,2020,6.4,4,6,False,True
ser_0119,Through lout,Comedia que retrata la vida cotidiana con humor inteligente.,1992,7.93,4,161,False,False
ser_0120,Outside Thrones,Acción sin tregua en una aventura llena de giros inesperados.,2012,9.45,8,174,True,False
ser_0121,Fleabag Tower,"Drama intenso sobre familia, lealtad y traición.",2002,9.05,10,189,True,True
ser_0122,The Sympathizer Thrones,Investigación criminal que pone a prueba los límites de la justicia.,2009,9.73,8,49,False,True
ser_0123,True Detective Dynasty,Una mirada profunda a la condición humana en tiempos difíciles.,2005,5.23,11,185,True,True
ser_0124,What We  Materials,Comedia que retrata la vida cotidiana con humor inteligente.,2000,9.24,5,62,False,False
ser_0125,Without Saul,Investigación criminal que pone a prueba los límites de la justicia.,1998,7.67,8,29,False,True
ser_0126,Found Tower,Comedia que retrata la vida cotidiana con humor inteligente.,1994,6.19,12,196,False,False
ser_0127,Andor alorian,"En un mundo donde las reglas se rompen, surgen héroes inesperados.",2006,5.69,2,28,False,True
ser_0128,Peaky  Town,"Drama intenso sobre familia, lealtad y traición.",2013,8.95,7,153,True,True
ser_0129,Better Call Manor,Una mirada profunda a la condición humana en tiempos difíciles.,2024,8.91,7,87,False,True
ser_0130,Slow Horses Tower,"En un mundo donde las reglas se rompen, surgen héroes inesperados.",2004,6.29,9,123,False,True
ser_0131,Fleabag alorian,Romance que desafía las convenciones sociales de la época.,2021,4.86,5,43,True,True
ser_0132,Mindhunter Profesor,Misterio y suspenso se entrelazan en esta serie cautivadora.,1997,9.78,12,152,False,True
ser_0133,The Sympathizer ession,Una historia épica que cambia el destino de los protagonistas para siempre.,2014,9.69,6,45,True,True
ser_0134,Breaking Robot,Acción sin tregua en una aventura llena de giros inesperados.,2021,5.73,11,46,True,False
ser_0135,La Eve,Comedia que retrata la vida cotidiana con humor inteligente.,2020,8.39,7,24,False,True
ser_0136,Euphoria to Ashes,"En un mundo donde las reglas se rompen, surgen héroes inesperados.",2015,4.76,10,19,False,False
ser_0137,Among Detective,Romance que desafía las convenciones sociales de la época.,1998,8.04,5,43,True,True
ser_0138,The Witcher  Town,"Drama intenso sobre familia, lealtad y traición.",1996,6.18,7,179,True,True
ser_0139,True or,"Drama intenso sobre familia, lealtad y traición.",2020,9.48,2,137,False,False
ser_0140,Wanda Jones,Una historia épica que cambia el destino de los protagonistas para siempre.,2005,4.69,7,131,False,True
ser_0141,Without Thrones,Acción sin tregua en una aventura llena de giros inesperados.,2019,5.6,11,119,False,True
ser_0142,The Marvelous Saul,"En un mundo donde las reglas se rompen, surgen héroes inesperados.",1995,6.84,11,136,True,True
ser_0143,Light  Town,Misterio y suspenso se entrelazan en esta serie cautivadora.,2020,8.02,2,157,True,False
ser_0144,Sherlock  Town,"En un mundo donde las reglas se rompen, surgen héroes inesperados.",1998,5.89,12,143,True,False
ser_0145,Stranger Jones,Investigación criminal que pone a prueba los límites de la justicia.,2024,6.83,9,155,True,True
ser_0146,Within Saul,Una saga familiar que recorre generaciones y secretos.,2001,8.03,1,148,False,True
ser_0147,The Marvelous Things,Una saga familiar que recorre generaciones y secretos.,1998,5.2,3,28,False,True
ser_0148,The Walking Saul,Misterio y suspenso se entrelazan en esta serie cautivadora.,2022,6.11,9,49,False,True
ser_0149,Fallout ia,Investigación criminal que pone a prueba los límites de la justicia.,1992,9.25,5,174,False,True
ser_0150,Found os,Investigación criminal que pone a prueba los límites de la justicia.,2010,9.28,6,161,True,True
ser_0151,Within Things,Una historia épica que cambia el destino de los protagonistas para siempre.,2005,5.09,5,61,True,True
ser_0152,Light or,"Drama intenso sobre familia, lealtad y traición.",2007,8.23,7,25,False,True
ser_0153,Outlander Detective,Romance que desafía las convenciones sociales de la época.,2015,4.48,5,179,False,True
ser_0154,Tokyo Mrs. Maisel,Misterio y suspenso se entrelazan en esta serie cautivadora.,1994,9.77,12,171,True,True
ser_0155,Inside Detective,"Drama intenso sobre familia, lealtad y traición.",2016,5.83,7,103,True,True
ser_0156,Black Lasso,Investigación criminal que pone a prueba los límites de la justicia.,1997,4.64,9,110,True,True
ser_0157,Through Thrones,Comedia que retrata la vida cotidiana con humor inteligente.,2013,8.51,3,63,False,True
ser_0158,True f,Acción sin tregua en una aventura llena de giros inesperados.,2004,9.52,2,50,False,False
ser_0159,True Chefs,Una saga familiar que recorre generaciones y secretos.,2012,9.02,9,75,True,True
ser_0160,Foundation Game,"Drama intenso sobre familia, lealtad y traición.",2014,6.0,12,179,False,False
ser_0161,Beef of Us,"Drama intenso sobre familia, lealtad y traición.",2022,7.81,3,102,False,True
ser_0162,Fallout Tower,Romance que desafía las convenciones sociales de la época.,2016,5.06,6,125,False,True
ser_0163,Only Murders Chefs,Misterio y suspenso se entrelazan en esta serie cautivadora.,2004,7.69,2,84,False,True
ser_0164,Westworld Thrones,Una mirada profunda a la condición humana en tiempos difíciles.,1994,9.48,3,153,True,True
ser_0165,Killing to Ashes,Una historia épica que cambia el destino de los protagonistas para siempre.,2021,9.58,7,179,True,False
ser_0166,The Sympathizer Profesor,"En un mundo donde las reglas se rompen, surgen héroes inesperados.",2024,6.35,10,54,True,False
ser_0167,Tokyo or,Investigación criminal que pone a prueba los límites de la justicia.,2005,7.97,1,161,False,True
ser_0168,Beyond Chefs,"Drama intenso sobre familia, lealtad y traición.",2004,4.44,3,137,False,True
ser_0169,Only Murders os,"Drama intenso sobre familia, lealtad y traición.",2014,6.17,2,92,True,True
ser_0170,Fleabag ia,Misterio y suspenso se entrelazan en esta serie cautivadora.,2020,5.54,1,194,False,True
ser_0171,House of hunter,Una historia épica que cambia el destino de los protagonistas para siempre.,2021,6.06,10,123,False,True
ser_0172,Vikings Bad,Comedia que retrata la vida cotidiana con humor inteligente.,1990,9.16,3,108,False,True
ser_0173,True Eve,Una mirada profunda a la condición humana en tiempos difíciles.,2021,4.49,9,45,False,True
ser_0174,Mare of of Us,Misterio y suspenso se entrelazan en esta serie cautivadora.,1999,5.31,7,101,False,True
ser_0175,Only Murders Robot,Misterio y suspenso se entrelazan en esta serie cautivadora.,2024,4.63,8,174,False,True
ser_0176,The Mandalorian or,Una historia épica que cambia el destino de los protagonistas para siempre.,2017,6.08,12,56,True,True
ser_0177,Killing Things,Acción sin tregua en una aventura llena de giros inesperados.,1998,6.44,6,14,True,True
ser_0178,True Detective Lasso,Acción sin tregua en una aventura llena de giros inesperados.,1997,6.84,8,180,True,True
ser_0179,Atlanta Profesor,"Drama intenso sobre familia, lealtad y traición.",2014,4.64,2,11,True,True
ser_0180,Casa Profesor,Una mirada profunda a la condición humana en tiempos difíciles.,1990,4.3,6,115,True,False
ser_0181,True Detective ession,Romance que desafía las convenciones sociales de la época.,2008,4.48,7,69,True,True
ser_0182,Fallout Lasso,Misterio y suspenso se entrelazan en esta serie cautivadora.,1997,9.77,4,176,False,True
ser_0183,Fargo Bad,Una saga familiar que recorre generaciones y secretos.,2022,5.05,10,167,True,True
ser_0184,The Marvelous  Mirror,Una historia épica que cambia el destino de los protagonistas para siempre.,2015,5.59,4,43,False,True
ser_0185,Outside Blinders,Una historia épica que cambia el destino de los protagonistas para siempre.,1995,6.21,9,84,True,True
ser_0186,True Detective Heist,Acción sin tregua en una aventura llena de giros inesperados.,2022,7.73,5,34,False,True
ser_0187,The White or,Una mirada profunda a la condición humana en tiempos difíciles.,2016,5.86,1,52,True,True
ser_0188,Breaking Game,Misterio y suspenso se entrelazan en esta serie cautivadora.,2003,6.74,10,31,False,True
ser_0189,Reacher os,Comedia que retrata la vida cotidiana con humor inteligente.,2013,5.77,2,177,True,True
ser_0190,El lout,Una saga familiar que recorre generaciones y secretos.,2013,7.07,6,66,False,True
ser_0191,Dark Side f,"En un mundo donde las reglas se rompen, surgen héroes inesperados.",1995,4.76,12,160,True,True
ser_0192,Light Blinders,Romance que desafía las convenciones sociales de la época.,2002,9.37,2,145,False,True
ser_0193,Fargo Blinders,"Drama intenso sobre familia, lealtad y traición.",2024,4.25,4,113,False,True
ser_0194,The Witcher lock,Acción sin tregua en una aventura llena de giros inesperados.,1997,4.39,7,140,True,True
ser_0195,Beyond Lasso,Misterio y suspenso se entrelazan en esta serie cautivadora.,1998,4.26,10,21,True,False
ser_0196,The Sympathizer Dynasty,"En un mundo donde las reglas se rompen, surgen héroes inesperados.",2022,4.96,9,104,False,False
ser_0197,Inside Lasso,"Drama intenso sobre familia, lealtad y traición.",2003,4.02,10,61,True,False
ser_0198,Shrinking Chefs,Misterio y suspenso se entrelazan en esta serie cautivadora.,2006,8.94,5,187,False,True
ser_0199,Foundation alorian,Investigación criminal que pone a prueba los límites de la justicia.,1992,5.38,1,169,True,True
ser_0200,Breaking Vision,Investigación criminal que pone a prueba los límites de la justicia.,2003,4.67,11,94,False,True
ser_0201,The Walking to Ashes,"Drama intenso sobre familia, lealtad y traición.",2006,6.37,10,81,False,True
ser_0202,Below of Us,Una mirada profunda a la condición humana en tiempos difíciles.,2012,8.24,5,51,False,True
ser_0203,Tokyo Manor,Acción sin tregua en una aventura llena de giros inesperados.,1996,9.48,5,166,True,False
ser_0204,The Bear Game,Una mirada profunda a la condición humana en tiempos difíciles.,2007,7.37,7,45,False,True
ser_0205,What We lout,Romance que desafía las convenciones sociales de la época.,1999,4.54,3,123,True,True
ser_0206,Euphoria  Town,"Drama intenso sobre familia, lealtad y traición.",2021,7.76,1,85,True,True
ser_0207,Chernobyl Tower,"En un mundo donde las reglas se rompen, surgen héroes inesperados.",2002,4.83,7,68,False,False
ser_0208,The Mandalorian of Us,Acción sin tregua en una aventura llena de giros inesperados.,1996,6.23,2,9,True,True
ser_0209,Fallout Thrones,"Drama intenso sobre familia, lealtad y traición.",2007,9.44,10,9,True,True
ser_0210,Squid Bear,Una mirada profunda a la condición humana en tiempos difíciles.,1995,4.81,10,119,True,True
ser_0211,El k,Una mirada profunda a la condición humana en tiempos difíciles.,1999,4.32,12,74,True,True
ser_0212,Game of Bad,Misterio y suspenso se entrelazan en esta serie cautivadora.,2024,4.59,7,42,True,True
ser_0213,Money alorian,Acción sin tregua en una aventura llena de giros inesperados.,2017,4.85,11,79,True,False
ser_0214,Peaky os,"En un mundo donde las reglas se rompen, surgen héroes inesperados.",2000,5.3,5,97,True,True
ser_0215,The Marvelous lout,Una historia épica que cambia el destino de los protagonistas para siempre.,1995,7.51,3,115,False,True
ser_0216,Beyond Eve,Misterio y suspenso se entrelazan en esta serie cautivadora.,1999,7.62,5,95,True,True
ser_0217,The Last Dead,Comedia que retrata la vida cotidiana con humor inteligente.,1999,4.86,8,190,False,True
ser_0218,Only Murders Lasso,"En un mundo donde las reglas se rompen, surgen héroes inesperados.",1999,5.87,3,52,False,True
ser_0219,Ozark os,Romance que desafía las convenciones sociales de la época.,2017,8.02,7,160,False,True
ser_0220,Among Vision,Acción sin tregua en una aventura llena de giros inesperados.,2014,7.19,9,142,False,True
ser_0221,Downton Thrones,Investigación criminal que pone a prueba los límites de la justicia.,2016,7.35,12,197,True,True
ser_0222,Shogun lout,Una mirada profunda a la condición humana en tiempos difíciles.,1990,9.76,1,98,False,True
ser_0223,Peaky Heist,Comedia que retrata la vida cotidiana con humor inteligente.,2012,8.92,3,81,False,True
ser_0224,Crash Lotus,Una mirada profunda a la condición humana en tiempos difíciles.,2005,8.8,1,197,True,True
ser_0225,Loki f,Acción sin tregua en una aventura llena de giros inesperados.,1991,6.16,12,33,True,False
ser_0226,Beyond Detective,"Drama intenso sobre familia, lealtad y traición.",1991,6.12,2,68,True,True
ser_0227,Lost Lotus,"Drama intenso sobre familia, lealtad y traición.",1999,6.72,3,197,False,False
ser_0228,Barry Bear,Una historia épica que cambia el destino de los protagonistas para siempre.,2018,5.66,3,21,True,True
ser_0229,Shrinking Detective,Acción sin tregua en una aventura llena de giros inesperados.,1990,8.83,11,122,False,True
ser_0230,Andor Eve,Misterio y suspenso se entrelazan en esta serie cautivadora.,2000,9.64,9,102,True,True
ser_0231,Atlanta of Cards,Una mirada profunda a la condición humana en tiempos difíciles.,1993,6.28,12,149,True,False
ser_0232,True Detective Game,Acción sin tregua en una aventura llena de giros inesperados.,2015,4.96,6,171,False,True
ser_0233,Daisy Bad,"En un mundo donde las reglas se rompen, surgen héroes inesperados.",1996,6.1,6,13,True,True
ser_0234,Severance Dynasty,"En un mundo donde las reglas se rompen, surgen héroes inesperados.",1996,5.23,1,199,False,True
ser_0235,Crash Blinders,Una mirada profunda a la condición humana en tiempos difíciles.,1992,5.56,10,150,True,False
ser_0236,Game of Heist,"En un mundo donde las reglas se rompen, surgen héroes inesperados.",2010,9.47,1,97,False,False
ser_0237,Shrinking Blinders,Acción sin tregua en una aventura llena de giros inesperados.,2010,8.21,3,185,True,True
ser_0238,Barry Profesor,Investigación criminal que pone a prueba los límites de la justicia.,1996,8.68,3,12,False,False
ser_0239,Light Things,"Drama intenso sobre familia, lealtad y traición.",2008,4.88,8,26,True,True
ser_0240,Squid Dead,Investigación criminal que pone a prueba los límites de la justicia.,2000,6.99,12,161,False,False
ser_0241,The Boys Bear,Comedia que retrata la vida cotidiana con humor inteligente.,2008,7.62,7,16,False,True
ser_0242,Wednesday of Cards,"Drama intenso sobre familia, lealtad y traición.",1994,7.29,8,30,True,True
ser_0243,Mindhunter to Ashes,Romance que desafía las convenciones sociales de la época.,1995,4.55,6,49,False,True
ser_0244,The Crown Lasso,Comedia que retrata la vida cotidiana con humor inteligente.,2013,4.52,3,187,False,True
ser_0245,Fargo  Ted,"Drama intenso sobre familia, lealtad y traición.",2018,9.45,10,130,True,True
ser_0246,Killing Jones,Una saga familiar que recorre generaciones y secretos.,2016,9.32,3,118,False,True
ser_0247,Bridgerton Thrones,Investigación criminal que pone a prueba los límites de la justicia.,2016,6.61,11,16,True,True
ser_0248,Alice of Us,"En un mundo donde las reglas se rompen, surgen héroes inesperados.",1999,5.69,3,151,False,True
ser_0249,The Bear f,"En un mundo donde las reglas se rompen, surgen héroes inesperados.",2019,6.02,8,170,False,True
ser_0250,The Walking Robot,Acción sin tregua en una aventura llena de giros inesperados.,1996,8.46,4,108,False,True
ser_0251,Ozark Bear,Una mirada profunda a la condición humana en tiempos difíciles.,2021,8.07,8,35,False,False
ser_0252,House of Dynasty,Romance que desafía las convenciones sociales de la época.,1999,4.84,4,87,True,False
ser_0253,Better Call lout,Romance que desafía las convenciones sociales de la época.,2017,5.24,4,11,False,True
ser_0254,Reacher Robot,"Drama intenso sobre familia, lealtad y traición.",1995,4.4,7,26,False,False
ser_0255,Hacks Chefs,Misterio y suspenso se entrelazan en esta serie cautivadora.,2003,5.07,1,29,False,True
ser_0256,Sherlock Detective,Comedia que retrata la vida cotidiana con humor inteligente.,2002,9.46,8,127,True,False
ser_0257,Vikings  Town,Una historia épica que cambia el destino de los protagonistas para siempre.,2014,7.25,10,56,True,True
ser_0258,Narcos Game,"Drama intenso sobre familia, lealtad y traición.",1990,9.2,3,133,False,True
ser_0259,Beyond Lotus,Investigación criminal que pone a prueba los límites de la justicia.,2006,8.19,8,38,False,True
ser_0260,House of Mrs. Maisel,Acción sin tregua en una aventura llena de giros inesperados.,2002,8.04,3,159,False,True
